atp,chemicalName,chemtype,density,factor,molarMass,molarity,order,smiles
1.5,"1-(tert-butyl) 2-(1,3-dioxoisoindolin-2-yl) pyrrolidine-1,2-dicarboxylate",Electrophile,1,TRUE,360.366,0.1,1,O=C(ON1C(C(C=CC=C2)=C2C1=O)=O)C3N(C(OC(C)(C)C)=O)CCC3
1.5,"1,3-dioxoisoindolin-2-yl (tert-butoxycarbonyl)valinate",Electrophile,1,TRUE,362.382,0.1,1,O=C(ON1C(C(C=CC=C2)=C2C1=O)=O)C(NC(OC(C)(C)C)=O)C(C)C
1.5,"1,3-dioxoisoindolin-2-yl (tert-butoxycarbonyl)leucinate",Electrophile,1,TRUE,376.409,0.1,1,O=C(ON1C(C(C=CC=C2)=C2C1=O)=O)C(NC(OC(C)(C)C)=O)CC(C)C
1.5,"1,3-dioxoisoindolin-2-yl 2-((tert-butoxycarbonyl)amino)pentanoate",Electrophile,1,TRUE,362.382,0.1,1,O=C(ON1C(C(C=CC=C2)=C2C1=O)=O)C(NC(OC(C)(C)C)=O)CCC
1.5,"1,3-dioxoisoindolin-2-yl (tert-butoxycarbonyl)alaninate",Electrophile,1,TRUE,334.328,0.1,1,O=C(ON1C(C(C=CC=C2)=C2C1=O)=O)C(NC(OC(C)(C)C)=O)C
1.5,"1,3-dioxoisoindolin-2-yl (tert-butoxycarbonyl)methioninate",Electrophile,1,TRUE,394.449,0.1,1,O=C(ON1C(C(C=CC=C2)=C2C1=O)=O)C(NC(OC(C)(C)C)=O)CCSC
1.5,"1,3-dioxoisoindolin-2-yl (tert-butoxycarbonyl)phenylalaninate",Electrophile,1,TRUE,410.426,0.1,1,O=C(ON1C(C(C=CC=C2)=C2C1=O)=O)C(NC(OC(C)(C)C)=O)CC3=CC=CC=C3
1.5,"1,3-dioxoisoindolin-2-yl 2-((tert-butoxycarbonyl)amino)-3-(perfluorophenyl)propanoate",Electrophile,1,TRUE,500.376,0.1,1,FC(C(F)=C1F)=C(F)C(F)=C1CC(C(ON2C(C(C=CC=C3)=C3C2=O)=O)=O)NC(OC(C)(C)C)=O
1.5,"1,3-dioxoisoindolin-2-yl 2-(3,4-dimethoxyphenyl)acetate",Electrophile,1,TRUE,341.319,0.1,1,O=C(ON1C(C(C=CC=C2)=C2C1=O)=O)CC3=CC(OC)=C(OC)C=C3
1.5,"1,3-dioxoisoindolin-2-yl 2-(1-(4-chlorobenzoyl)-5-methoxy-2-methyl-1H-indol-3-yl)acetate",Electrophile,1,TRUE,502.91,0.1,1,O=C(C1=CC=C(Cl)C=C1)N2C(C)=C(CC(ON3C(C(C=CC=C4)=C4C3=O)=O)=O)C5=CC(OC)=CC=C52
1.5,"1,3-dioxoisoindolin-2-yl 2-(2-((2,6-dichlorophenyl)amino)phenyl)acetate",Electrophile,1,TRUE,441.27,0.1,1,ClC1=C(NC2=CC=CC=C2CC(ON3C(C(C=CC=C4)=C4C3=O)=O)=O)C(Cl)=CC=C1
1.5,"1,3-dioxoisoindolin-2-yl 2-(4-isobutylphenyl)propanoate",Electrophile,1,TRUE,351.402,0.1,1,O=C(ON1C(C(C=CC=C2)=C2C1=O)=O)C(C)C3=CC=C(CC(C)C)C=C3
1.5,"1-benzyl-2,4,6-triphenylpyridin-1-ium tetrafluoroborate",Nucleophile,1,TRUE,485.333,0.1,1,F[B-](F)(F)F.C1(C[N+]2=C(C3=CC=CC=C3)C=C(C4=CC=CC=C4)C=C2C5=CC=CC=C5)=CC=CC=C1
1.5,"1-(4-methylbenzyl)-2,4,6-triphenylpyridin-1-ium tetrafluoroborate",Nucleophile,1,TRUE,499.36,0.1,1,CC(C=C1)=CC=C1C[N+]2=C(C3=CC=CC=C3)C=C(C4=CC=CC=C4)C=C2C5=CC=CC=C5.F[B-](F)(F)F
