label,atp,chemicalName,chemtype,density,factor,molarMass,molarity,order,smiles
C1,2,"CALCIUM CHLORIDE ANHYDROUS, 96.0+%, POWDER",Catalyst2,1,TRUE,110.978,0.0500000000,1,[Cl-].[Cl-].[Ca++]
C2,2,"PALLADIUM(II) CHLORIDE, 99%, REAGENTPLUS",Catalyst2,1,TRUE,177.32,0.0500000000,1,Cl[Pd]Cl
C3,2,MgCl2,Catalyst2,1,TRUE,95.205,0.0500000000,1,[Mg+2].[Cl-].[Cl-]
C4,2,No Catalyst2,Catalyst2,1,TRUE,1,0.0500000000,1,C
C5,2,"ZINC CHLORIDE, 98+%, ANHYDROUS, REAGENT GRADE",Catalyst2,1,TRUE,136.28,0.0500000000,1,[Cl-].[Cl-].[Zn++]
C6,2,"IRON(III) CHLORIDE, 97%",Catalyst2,1,TRUE,162.195,0.0500000000,1,[Cl-].[Cl-].[Cl-].[Fe+3]
C7,2,"BISMUTH(III) CHLORIDE, 98+%, REAGENT",Catalyst2,1,TRUE,315.3304,0.0500000000,1,[Cl-].[Cl-].[Cl-].[Bi+3]
C8,2,"TITANIUM(IV) ISOPROPOXIDE, 97%",Catalyst2,1,TRUE,284.219,0.0500000000,1,[Ti+4].CC(C)[O-].CC(C)[O-].CC(C)[O-].CC(C)[O-]
C9,2,"ALUMINUM CHLORIDE, ANHYDROUS, GRANULAR, 99%",Catalyst2,1,TRUE,133.3315,0.0500000000,1,[Al+3].[Cl-].[Cl-].[Cl-]
C10,2,"Gallium(III) chloride, 99.99+%",Catalyst2,1,TRUE,176.073,0.0500000000,1,Cl[Ga](Cl)Cl
C11,2,COPPER(II) BROMIDE,Catalyst2,1,TRUE,223.354,0.0500000000,1,[Cu++].[Br-].[Br-]
C12,2,RUTHENIUM(III) CHLORIDE,Catalyst2,1,TRUE,207.42,0.0500000000,1,[Cl-].[Cl-].[Cl-].[Ru+3]
N1,2,PhenEt Kat Salt,Nucleophile,1,TRUE,498.3522,0.2000000000,1,F[B-](F)(F)F.C1(C2=CC=CC=C2)=CC(C3=CC=CC=C3)=[N+]([CH-]CC4=CC=CC=C4)C(C5=CC=CC=C5)=C1
E1,2,2-Naphthoyl N-Acyl Glutarimide,Electrophile,1,TRUE,267.284,0.1000000000,1,O=C(N1C(CCCC1=O)=O)C2=CC3=CC=CC=C3C=C2
R1,2,"MANGANESE, POWDER, -325 MESH, 99+%",ReductantOxidant,1,TRUE,54.938,0.3000000000,1,[Mn]
T1,2,"NICKEL(II) BROMIDE, DIMETHOXYETHANE ADDUCT, 97+%",Catalyst1,1,TRUE,308.6234,0.0200000000,1,COCCOC.[Ni+2].[Br-].[Br-]
L1,2,"2,2'-DIPYRIDYL, 99+%",Ligand1,1,TRUE,156.188,0.0200000000,1,c1ccc(nc1)c2ccccn2
L2,2,"4,4'-DIMETHYL-2,2'-BIPYRIDYL, 98.0+%",Ligand1,1,TRUE,184.242,0.0200000000,1,Cc1ccnc(c1)c2cc(C)ccn2
L3,2,"4,4'-DIBROMO-2,2'-BIPYRIDINE, 98%",Ligand1,1,TRUE,313.98,0.0200000000,1,BrC1=CC(C2=NC=CC(Br)=C2)=NC=C1
L4,2,"4-4'-DIMETHOXY-2-2'-BIPYRIDINE, 97%",Ligand1,1,TRUE,216.24,0.0200000000,1,COc1ccnc(c1)c2cc(OC)ccn2
L5,2,"5,5'-BIS(TRIFLUOROMETHYL)-2,2'-BIPYRIDINE",Ligand1,1,TRUE,292.1844,0.0200000000,1,FC(C1=CN=C(C2=NC=C(C(F)(F)F)C=C2)C=C1)(F)F
L6,2,"4,4''-BIS(TRIFLUOROMETHYL)-2,2''-BIPYRIDINE, 95+%",Ligand1,1,TRUE,292.1844,0.0200000000,1,C1=CN=C(C=C1C(F)(F)F)C2=NC=CC(=C2)C(F)(F)F
L7,2,"5,5'-DIMETHYL-2,2'-BIPYRIDINE, 98%",Ligand1,1,TRUE,184.242,0.0200000000,1,Cc1ccc(nc1)c2ccc(C)cn2
L8,2,"1,10-PHENANTHROLINE, 99+%",Ligand1,1,TRUE,180.21,0.0200000000,1,c1cnc2c(c1)ccc3cccnc23
