Sample Name,product_yield
A1,70.67757009
B1,59.9009901
C1,73.26295585
D1,43.00564972
E1,100
F1,99.81685714
G1,5.805047619
H1,15.88952381
A2,43.14709236
B2,14.55156951
C2,35.37444934
D2,17.40506329
E2,20.01904762
F2,4.528952381
G2,0
H2,0
A3,82.13390476
B3,35.23561905
C3,0
D3,32.29895238
E3,14.16352381
F3,13.856
G3,9.091333333
H3,1.009142857
A4,72.72914521
B4,55.3972381
C4,51.2812381
D4,82.2987619
E4,14.38942857
F4,25.31419048
G4,0
H4,0
A5,87.59259259
B5,81.59836066
C5,19.74219048
D5,59.5
E5,11.48161905
F5,4.501619048
G5,1.25352381
H5,0
A6,66.15859938
B6,50.08714597
C6,86.84210526
D6,37.50747757
E6,3.369428571
F6,2.017428571
G6,0
H6,0
A7,42.98885714
B7,48.01561905
C7,29.16829746
D7,35.17821782
E7,3.102095238
F7,12.05942623
G7,0
H7,0
A8,18.34714286
B8,9.521238095
C8,0
D8,1.848380952
E8,0
F8,0
G8,0
H8,2.096857143
A9,48.3304272
B9,36.42008809
C9,28.51715686
D9,40.84629391
E9,21.74342755
F9,14.24480846
G9,0
H9,0
A10,0
B10,32.3670045
C10,0
D10,0
E10,0
F10,0
G10,0
H10,0.97912386
A11,22.87285843
B11,31.5688172
C11,0
D11,0
E11,0
F11,0
G11,0
H11,9.468761905
A12,48.86815129
B12,76.7813394
C12,67.26335805
D12,61.22617598
E12,0
F12,0
G12,0
H12,0
