Sample Name,product_yield
A1,0.460238663
B1,0.316143858
C1,0.142010965
D1,0.247665922
E1,0.335636721
F1,0.485608143
G1,0.460981877
H1,0.488602735
A2,0.273335124
B2,0.204874533
C2,0.315801396
D2,0.146532997
E2,0.08839881
F2,0.171858498
G2,0.285786563
H2,0.219362727
A3,0.225826895
B3,0.154515354
C3,0.07780177
D3,0.086859842
E3,0.068976849
F3,0.084292877
G3,0.148494695
H3,0.148621523
A4,0
B4,0
C4,0
D4,0
E4,0
F4,0
G4,0
H4,0
A5,0.294520032
B5,0.290060754
C5,0.26400386
D5,0.193793945
E5,0.277850478
F5,0.414201753
G5,0.485262785
H5,0.51878004
A6,0.106991501
B6,0.113188818
C6,0.072650287
D6,0.107602306
E6,0
F6,0.047503571
G6,0.062868425
H6,0.04696731
A7,0.137378557
B7,0.119380025
C7,0.07138146
D7,0.054971353
E7,0.043797146
F7,0
G7,0.128525162
H7,0.059889449
A8,0.049248149
B8,0.033974792
C8,0
D8,0
E8,0
F8,0
G8,0
H8,0.048635099
A9,0.450004869
B9,0.410679487
C9,0.297117578
D9,0.342243631
E9,0.275821639
F9,0.281138683
G9,0.543377092
H9,0.475132494
A10,0.237392387
B10,0.24938878
C10,0.230497461
D10,0.177973277
E10,0.146902486
F10,0.134775329
G10,0.381195868
H10,0.389683391
A11,0.349033981
B11,0.268354445
C11,0.078978973
D11,0.211095981
E11,0.144582634
F11,0.179373421
G11,0.204722657
H11,0.25667691
A12,0.419733224
B12,0.23791342
C12,0.183808058
D12,0.156812687
E12,0.141530769
F12,0.218445519
G12,0.278016692
H12,0.347281665
