Sample Name,product_yield,product_smiles,product_name
A1,0.9332,CCOC(=O)C1=C(COCCOC(=O)c2ccccc2F)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,A1
A2,0.4488,CCOC(=O)C1=C(COCCOC(=O)c2cccc(F)c2)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,A2
A3,1.21025,CCOC(=O)C1=C(COCCOC(=O)c2ccc(F)cc2)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,A3
A4,0.85815,CCOC(=O)C1=C(COCCOC(=O)c2ccccc2I)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,A4
A5,0,CCOC(=O)C1=C(COCCOC(=O)c2ccc(Cl)cc2)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,A5
A6,1.05665,CCOC(=O)C1=C(COCCOC(=O)c2ccccc2C)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,A6
A7,0.1136,CCOC(=O)C1=C(COCCOC(=O)c2ccccc2[N+](=O)[O-])NC(C)=C(C(=O)OC)C1c1ccccc1Cl,A7
A8,0.46715,CCOC(=O)C1=C(COCCOC(=O)c2ccccc2C(C)=O)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,A8
A9,0.7155,CCOC(=O)C1=C(COCCOC(=O)c2ccccc2C=O)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,A9
A10,0.10205,CCOC(=O)C1=C(COCCOC(=O)c2ccc(S(N)(=O)=O)cc2)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,A10
A11,0.28035,CCOC(=O)C1=C(COCCOC(=O)c2ccc(Br)c(F)c2)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,A11
A12,0.85015,CCOC(=O)C1=C(COCCOC(=O)c2ccc(C)c(C)c2)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,A12
B1,0.5981,CCOC(=O)C1=C(COCCOC(=O)c2cc([N+](=O)[O-])cc([N+](=O)[O-])c2)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,B1
B2,0,CCOC(=O)C1=C(COCCOC(=O)c2cc(Cl)c(N)cc2OCC)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,B2
B3,0.52775,CCOC(=O)C1=C(COCCOC(=O)c2cc(Cl)ccc2Br)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,B3
B4,0.77845,CCOC(=O)C1=C(COCCOC(=O)c2ccc(OC)c([N+](=O)[O-])c2)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,B4
B5,0.757,CCOC(=O)C1=C(COCCOC(=O)c2ccccn2)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,B5
B6,0.98915,CCOC(=O)C1=C(COCCOC(=O)c2ccco2)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,B6
B7,0.20795,CCOC(=O)C1=C(COCCOC(=O)c2scnc2C)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,B7
B8,0.03575,CCOC(=O)C1=C(COCCOC(=O)c2csc(Br)n2)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,B8
B9,0,CCOC(=O)C1=C(COCCOC(=O)c2csc3ccc(Cl)cc23)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,B9
B10,0,CCOC(=O)C1=C(COCCOC(=O)c2ccncc2)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,B10
B11,0,CCOC(=O)C1=C(COCCOC(=O)c2n[nH]c3ccc(Cl)cc23)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,B11
B12,0.1988,CCOC(=O)C1=C(COCCOC(=O)c2cccc3ccncc23)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,B12
C1,1.1471,CCOC(=O)C1=C(COCCOC(=O)Cc2ccc(F)cc2)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,C1
C2,0.3284,CCOC(=O)C1=C(COCCOC(=O)Cc2ccco2)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,C2
C3,0.088,CCOC(=O)C1=C(COCCOC(=O)Cc2ccc(OC)c(O)c2)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,C3
C4,0.4145,CCOC(=O)C1=C(COCCOC(=O)Cn2cnc3c2c(=O)n(C)c(=O)n3C)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,C4
C5,0.3698,CCOC(=O)C1=C(COCCOC(=O)CC2CCCCC2)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,C5
C6,0,CCOC(=O)C1=C(COCCOC(=O)CC2CCCC2)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,C6
C7,1.3002,CCOC(=O)C1=C(COCCOC(=O)C(c2ccccc2)c2ccccc2)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,C7
C8,0.027,CCOC(=O)C1=C(COCCOC(=O)Cc2nn[nH]n2)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,C8
C9,0.62975,CCOC(=O)C1=C(COCCOC(=O)Cc2ccc(-c3ccccc3)cc2)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,C9
C10,0.87025,CCOC(=O)C1=C(COCCOC(=O)Cc2csc3ccc(Cl)cc23)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,C10
C11,0.2645,CCOC(=O)C1=C(COCCOC(=O)Cc2ccc3c(c2)OCCO3)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,C11
