Sample Name,Data File,Acquired,Location,Batch,Library,Barcode,Job Code,Sample ID,Project,User,Sample State,Sample Type,Description,Notebook,Raw File Name,Instrument,Processed,Container ID,Position,Submitter,Start Date,General Comments,Processing Comments,Overrides Comments,Flag Comments,Set,Subset,Group,Column,Row,Column Num,Row Num,Spare1,Spare2,Spare3,Spare4,Spare5,Product,Product/Standard,TWC_caffeine Rt(min),TWC_caffeine AreaAbs,TWC_caffeine BPM(+),TWC_Substance01 Rt(min),TWC_Substance01 AreaAbs,TWC_Substance01 BPM(+),TWC_o-toluic acid Rt(min),TWC_o-toluic acid AreaAbs,TWC_o-toluic acid BPM(+),TWC_Substance02 Rt(min),TWC_Substance02 AreaAbs,TWC_Substance02 BPM(+),TWC_Substance03 Rt(min),TWC_Substance03 AreaAbs,TWC_Substance03 BPM(+),TWC_Substance04 Rt(min),TWC_Substance04 AreaAbs,TWC_Substance04 BPM(+),TWC_Substance05 Rt(min),TWC_Substance05 AreaAbs,TWC_Substance05 BPM(+),TWC_Substance06 Rt(min),TWC_Substance06 AreaAbs,TWC_Substance06 BPM(+),TWC_Substance07 Rt(min),TWC_Substance07 AreaAbs,TWC_Substance07 BPM(+),UV280_caffeine Rt(min),UV280_caffeine AreaAbs,UV280_caffeine BPM(+),UV280_o-toluic acid Rt(min),UV280_o-toluic acid AreaAbs,UV280_o-toluic acid BPM(+),UV280_Substance03 Rt(min),UV280_Substance03 AreaAbs,UV280_Substance03 BPM(+),UV280_Substance06 Rt(min),UV280_Substance06 AreaAbs,UV280_Substance06 BPM(+),UV280_Substance07 Rt(min),UV280_Substance07 AreaAbs,UV280_Substance07 BPM(+),UV210_Substance05 Rt(min),UV210_Substance05 AreaAbs,UV210_Substance05 BPM(+),UV210_Substance06 Rt(min),UV210_Substance06 AreaAbs,UV210_Substance06 BPM(+),UV210_Substance07 Rt(min),UV210_Substance07 AreaAbs,UV210_Substance07 BPM(+),UV226_caffeine Rt(min),UV226_caffeine AreaAbs,UV226_caffeine BPM(+),UV226_Substance01 Rt(min),UV226_Substance01 AreaAbs,UV226_Substance01 BPM(+),UV226_o-toluic acid Rt(min),UV226_o-toluic acid AreaAbs,UV226_o-toluic acid BPM(+),UV226_Substance02 Rt(min),UV226_Substance02 AreaAbs,UV226_Substance02 BPM(+),UV226_Substance03 Rt(min),UV226_Substance03 AreaAbs,UV226_Substance03 BPM(+),UV226_Substance05 Rt(min),UV226_Substance05 AreaAbs,UV226_Substance05 BPM(+),UV226_Substance06 Rt(min),UV226_Substance06 AreaAbs,UV226_Substance06 BPM(+),UV226_Substance07 Rt(min),UV226_Substance07 AreaAbs,UV226_Substance07 BPM(+),BPI POSITIVE_caffeine Rt(min),BPI POSITIVE_caffeine AreaAbs,BPI POSITIVE_caffeine BPM(+),BPI POSITIVE_o-toluic acid Rt(min),BPI POSITIVE_o-toluic acid AreaAbs,BPI POSITIVE_o-toluic acid BPM(+),BPI POSITIVE_Substance03 Rt(min),BPI POSITIVE_Substance03 AreaAbs,BPI POSITIVE_Substance03 BPM(+),BPI POSITIVE_Substance05 Rt(min),BPI POSITIVE_Substance05 AreaAbs,BPI POSITIVE_Substance05 BPM(+),BPI POSITIVE_Substance06 Rt(min),BPI POSITIVE_Substance06 AreaAbs,BPI POSITIVE_Substance06 BPM(+),BPI POSITIVE_Substance07 Rt(min),BPI POSITIVE_Substance07 AreaAbs,BPI POSITIVE_Substance07 BPM(+),TWC_ester product Rt(min),TWC_ester product AreaAbs,TWC_ester product BPM(+),TWC_Substance08 Rt(min),TWC_Substance08 AreaAbs,TWC_Substance08 BPM(+),UV280_Substance02 Rt(min),UV280_Substance02 AreaAbs,UV280_Substance02 BPM(+),UV210_Substance04 Rt(min),UV210_Substance04 AreaAbs,UV210_Substance04 BPM(+),UV210_Substance08 Rt(min),UV210_Substance08 AreaAbs,UV210_Substance08 BPM(+),UV226_ester product Rt(min),UV226_ester product AreaAbs,UV226_ester product BPM(+),BPI POSITIVE_Substance01 Rt(min),BPI POSITIVE_Substance01 AreaAbs,BPI POSITIVE_Substance01 BPM(+),BPI POSITIVE_Substance02 Rt(min),BPI POSITIVE_Substance02 AreaAbs,BPI POSITIVE_Substance02 BPM(+),BPI POSITIVE_Substance04 Rt(min),BPI POSITIVE_Substance04 AreaAbs,BPI POSITIVE_Substance04 BPM(+),BPI POSITIVE_Substance08 Rt(min),BPI POSITIVE_Substance08 AreaAbs,BPI POSITIVE_Substance08 BPM(+),UV226_Substance04 Rt(min),UV226_Substance04 AreaAbs,UV226_Substance04 BPM(+),UV210_Substance03 Rt(min),UV210_Substance03 AreaAbs,UV210_Substance03 BPM(+),TWC_Substance09 Rt(min),TWC_Substance09 AreaAbs,TWC_Substance09 BPM(+),TWC_Substance10 Rt(min),TWC_Substance10 AreaAbs,TWC_Substance10 BPM(+),TWC_Substance11 Rt(min),TWC_Substance11 AreaAbs,TWC_Substance11 BPM(+),TWC_Substance12 Rt(min),TWC_Substance12 AreaAbs,TWC_Substance12 BPM(+),TWC_Substance13 Rt(min),TWC_Substance13 AreaAbs,TWC_Substance13 BPM(+),UV226_Substance12 Rt(min),UV226_Substance12 AreaAbs,UV226_Substance12 BPM(+),UV280_Substance01 Rt(min),UV280_Substance01 AreaAbs,UV280_Substance01 BPM(+),UV210_Substance01 Rt(min),UV210_Substance01 AreaAbs,UV210_Substance01 BPM(+),UV210_Substance02 Rt(min),UV210_Substance02 AreaAbs,UV210_Substance02 BPM(+),UV210_ester product Rt(min),UV210_ester product AreaAbs,UV210_ester product BPM(+),UV280_Substance05 Rt(min),UV280_Substance05 AreaAbs,UV280_Substance05 BPM(+),BPI POSITIVE_ester product Rt(min),BPI POSITIVE_ester product AreaAbs,BPI POSITIVE_ester product BPM(+),UV210_Substance09 Rt(min),UV210_Substance09 AreaAbs,UV210_Substance09 BPM(+),UV226_Substance08 Rt(min),UV226_Substance08 AreaAbs,UV226_Substance08 BPM(+),UV280_ester product Rt(min),UV280_ester product AreaAbs,UV280_ester product BPM(+),UV280_Substance04 Rt(min),UV280_Substance04 AreaAbs,UV280_Substance04 BPM(+),BPI POSITIVE_Substance09 Rt(min),BPI POSITIVE_Substance09 AreaAbs,BPI POSITIVE_Substance09 BPM(+),UV226_Substance09 Rt(min),UV226_Substance09 AreaAbs,UV226_Substance09 BPM(+),UV280_Substance08 Rt(min),UV280_Substance08 AreaAbs,UV280_Substance08 BPM(+),UV210_Substance10 Rt(min),UV210_Substance10 AreaAbs,UV210_Substance10 BPM(+),UV210_Substance11 Rt(min),UV210_Substance11 AreaAbs,UV210_Substance11 BPM(+),UV226_Substance10 Rt(min),UV226_Substance10 AreaAbs,UV226_Substance10 BPM(+),BPI POSITIVE_Substance11 Rt(min),BPI POSITIVE_Substance11 AreaAbs,BPI POSITIVE_Substance11 BPM(+),BPI POSITIVE_Substance10 Rt(min),BPI POSITIVE_Substance10 AreaAbs,BPI POSITIVE_Substance10 BPM(+),product/caffiene
A1,A1.raw,12/22/19 14:15,1:A,,,,YS01230,,,Yuning,Processed,Sample,A1,,C:\Users\cernaklab-admin\Documents\AnalyticalStudio\Archives\Yuning\YS01230\A1-12-22-19-141501.asa,ACQ-QDA#KAD3699,12/22/19 19:06,3,1,,1/1/0001,,,,,,,,1,A,1,1,,,,,,27042.6269,,0.441,296642.0034,195,0.651,23465.26718,278.1,0.764,207977.1216,392.2,0.84,84374.23611,353.2,0.966,121716.6575,279,1.32,16174.44028,198.1,1.429,33771.49412,228.2,1.48,24891.64148,211.1,1.65,17318.00064,282.2,0.439,17747.23226,195,0.761,4326.89085,392.2,0,0,0,0,0,0,0,0,0,1.421,1285.24602,228.2,1.483,339.26777,211.1,0,0,0,0.442,3074.62008,195,0.653,581.42428,278.1,0.764,6794.0808,392.2,0.841,2389.15109,353.2,0.968,5055.81903,279,0,0,0,0,0,0,0,0,0,0.44,727896.9289,195,0,0,0,0.965,980067.9227,279,0,0,0,1.483,56777.82838,211.1,0,0,0,1.339,27042.62688,198.1,1.705,11670.82502,284.3,0,0,0,1.33,1181.90986,198.1,0,0,0,1.34,454.71813,198.1,0.652,115925.4621,278.1,0.84,1145981.633,353.2,1.319,867940.1527,198.1,0,0,0,0,0,0,0,0,0,1.754,47151.93997,396.4,1.808,19348.74298,282.2,1.836,17641.35544,338.3,1.871,39440.58017,338.3,1.932,21438.93384,282.2,1.873,67498.1953,338.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.091162501
B1,B1.raw,12/22/19 14:18,1:B,,,,YS01230,,,Yuning,Processed,Sample,B1,,C:\Users\cernaklab-admin\Documents\AnalyticalStudio\Archives\Yuning\YS01230\B1-12-22-19-141820.asa,ACQ-QDA#KAD3699,12/22/19 19:06,3,13,,1/1/0001,,,,,,,,1,B,1,2,,,,,,43312.9126,,0.444,355078.133,195,0.297,27115.64611,150.3,0.764,278053.0219,327.2,0.603,14539.36336,237,0.677,39411.08461,240.1,0.841,13031.21862,352.2,1.431,32675.09092,369.2,1.484,39153.60765,211.1,0,0,0,0.441,21496.36888,195,0.762,5892.52789,327.2,0,0,0,0,0,0,0,0,0,1.422,1455.1716,369.2,1.477,245.68988,211.1,0,0,0,0.443,3572.16927,195,0,0,0,0.765,9131.54081,327.2,0,0,0,0.678,1752.46948,240.1,1.432,200.69879,369.2,1.486,199.46669,211.1,0,0,0,0.444,802771.018,195,0,0,0,0.677,747992.4241,240.1,0,0,0,1.487,302005.2047,211.1,0,0,0,1.342,43312.9126,459.2,0,0,0,0,0,0,0,0,0,0,0,0,1.343,958.65912,459.2,0,0,0,0.604,209671.5611,237,0.84,163922.0236,352.2,0,0,0,0.841,489.9331,352.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121981357
C1,C1.raw,12/22/19 14:21,1:C,,,,YS01230,,,Yuning,Processed,Sample,C1,,C:\Users\cernaklab-admin\Documents\AnalyticalStudio\Archives\Yuning\YS01230\C1-12-22-19-142105.asa,ACQ-QDA#KAD3699,12/22/19 19:06,3,25,,1/1/0001,,,,,,,,1,C,1,3,,,,,,77889.4387,,0.441,354641.3067,195,0.692,120055.4071,150.3,0.759,266175.8642,319.2,0.822,111694.4117,305.2,1.045,13949.25302,486.2,1.109,18868.06458,445.3,1.461,33400.66178,226.1,1.479,13976.71746,226.1,1.785,11115.87691,344.2,0.44,21234.22933,195,0.757,5564.83705,319.2,0,0,0,0,0,0,0,0,0,1.453,1168.4338,226.1,0,0,0,1.776,133.75137,344.2,0.443,3599.77725,195,0.693,1972.22652,150.3,0.76,8414.65761,319.2,0.823,3056.56406,305.2,1.046,308.41922,486.2,1.463,383.28118,226.1,0,0,0,1.782,544.66546,344.2,0.442,821322.3397,195,0,0,0,1.044,252466.8928,486.2,1.462,1684075.936,226.1,0,0,0,0,0,0,1.34,77889.43869,198.1,0,0,0,0,0,0,1.101,469.09796,445.3,0,0,0,1.34,1724.02566,198.1,0.692,269719.5836,150.3,0.821,2423742.805,305.2,1.104,107683.3088,445.3,0,0,0,1.112,370.28522,445.3,1.036,193.26552,486.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.331,2221.05988,198.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.219628783
D1,D1.raw,12/22/19 14:23,1:D,,,,YS01230,,,Yuning,Processed,Sample,D1,,C:\Users\cernaklab-admin\Documents\AnalyticalStudio\Archives\Yuning\YS01230\D1-12-22-19-142350.asa,ACQ-QDA#KAD3699,12/22/19 19:07,3,37,,1/1/0001,,,,,,,,1,D,1,4,,,,,,45988.5575,,0.443,318031.5858,195,0.387,147552.7285,181,0.759,172960.7463,271,0.693,359074.2716,150.3,0.74,16996.29971,271,1.058,14255.24414,240.1,1.319,37156.79413,506.5,1.432,19575.11334,506.5,0,0,0,0.44,18315.36383,195,0.757,3807.67271,271,0,0,0,0,0,0,0,0,0,1.331,2322.08774,506.5,1.422,712.63554,506.5,0,0,0,0.443,5733.96224,195,0.388,3219.2025,181,0.76,5851.86676,271,0.693,5388.6915,150.3,0,0,0,0,0,0,0,0,0,0,0,0,0.442,661245.4667,195,0,0,0,0.74,229932.6568,271,0,0,0,0,0,0,0,0,0,1.34,45988.55748,518.2,0,0,0,0,0,0,1.067,970.09593,240.1,0,0,0,1.34,1567.42156,518.2,0.381,979349.4511,181,0.694,517967.7829,150.3,0,0,0,0,0,0,1.059,228.74522,240.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.383,5985.59157,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.144603742
E1,E1.raw,12/22/19 14:26,1:E,,,,YS01230,,,Yuning,Processed,Sample,E1,,C:\Users\cernaklab-admin\Documents\AnalyticalStudio\Archives\Yuning\YS01230\E1-12-22-19-142636.asa,ACQ-QDA#KAD3699,12/22/19 19:07,3,49,,1/1/0001,,,,,,,,1,E,1,5,,,,,,102576.7929,,0.441,274234.9329,195,0.995,13261.22543,529.3,0.759,166198.5233,271.2,1.058,8253.12807,503.2,1.194,12479.31189,455.3,1.318,8481.88086,198.1,1.414,13200.49513,506.5,1.429,37443.2093,506.5,1.482,9437.53112,211.1,0.44,16344.3512,195,0.757,3872.21677,271.2,0,0,0,0,0,0,0,0,0,1.42,2089.88569,506.5,0,0,0,0,0,0,0.443,2785.50994,195,0.997,453.74126,529.3,0.759,5385.46381,271.2,0,0,0,1.195,296.93368,455.3,1.415,629.52478,506.5,0,0,0,0,0,0,0.442,723494.2219,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.339,102576.7929,198.1,1.516,13018.44222,288.1,0,0,0,1.331,3272.1989,198.1,1.509,403.69347,288.1,1.34,2357.83618,198.1,0.996,671206.2934,529.3,1.058,116294.5275,503.2,1.319,565950.9371,198.1,0,0,0,0,0,0,1.186,363.19937,455.3,1.645,10657.41721,282.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.066,491.98002,503.2,0,0,0,0,0,0,0,0,0,1.634,163.15941,282.2,1.519,177.34886,288.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.374047142
F1,F1.raw,12/22/19 14:29,1:F,,,,YS01230,,,Yuning,Processed,Sample,F1,,C:\Users\cernaklab-admin\Documents\AnalyticalStudio\Archives\Yuning\YS01230\F1-12-22-19-142922.asa,ACQ-QDA#KAD3699,12/22/19 19:06,3,61,,1/1/0001,,,,,,,,1,F,1,6,,,,,,61286.409,,0.442,329541.0392,195,0.494,78209.08634,226,0.759,243293.4049,150.3,0.692,393766.285,150.3,0.963,38631.68027,315.2,1.003,14037.35225,281.1,0,0,0,0,0,0,0,0,0,0.44,19890.35606,195,0.757,4879.50097,150.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.443,3327.87905,195,0.495,1348.35246,226,0.759,7667.45751,150.3,0.693,5970.08047,150.3,0.964,782.45466,315.2,0,0,0,0,0,0,0,0,0,0.444,809828.3192,195,0,0,0,0.962,73613.16117,315.2,0,0,0,0,0,0,0,0,0,1.339,61286.40899,282.2,0,0,0,0,0,0,0,0,0,0,0,0,1.34,1360.84074,282.2,0.494,118855.1785,226,0.694,636772.8307,150.3,1.002,87931.13869,281.1,0,0,0,1.003,243.16377,281.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.331,1833.65415,282.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.185975043
G1,G1.raw,12/22/19 14:32,1:G,,,,YS01230,,,Yuning,Processed,Sample,G1,,C:\Users\cernaklab-admin\Documents\AnalyticalStudio\Archives\Yuning\YS01230\G1-12-22-19-143207.asa,ACQ-QDA#KAD3699,12/22/19 19:06,3,73,,1/1/0001,,,,,,,,1,G,1,7,,,,,,41861.1868,,0.442,330838.1216,195,0.693,390204.5406,150.3,0.76,219628.312,150.3,0.877,21476.56671,359.3,1.001,257061.2847,269.1,1.112,29468.67119,269.1,1.433,37322.96225,269.1,1.483,23853.05703,269.1,0,0,0,0.441,19844.83049,195,0.757,4490.17944,150.3,0.998,8362.76171,269.1,0,0,0,0,0,0,1.423,1214.82515,269.1,1.473,80.64495,269.1,0,0,0,0.443,3418.81922,195,0.694,5863.57674,150.3,0.76,6938.27132,150.3,0.878,264.37417,359.3,1.001,3700.59928,269.1,1.434,146.25618,269.1,0,0,0,0,0,0,0.444,779153.0785,195,0,0,0,1.002,4002633.908,269.1,0,0,0,0,0,0,0,0,0,1.341,41861.18683,269.1,0,0,0,0,0,0,1.103,1148.82402,269.1,0,0,0,1.341,998.81454,269.1,0.696,643549.8676,150.3,0.877,376974.5074,359.3,1.121,507140.02,269.1,0,0,0,1.113,1061.49657,269.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.331,1488.79768,269.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.126530723
H1,H1.raw,12/22/19 14:34,1:H,,,,YS01230,,,Yuning,Processed,Sample,H1,,C:\Users\cernaklab-admin\Documents\AnalyticalStudio\Archives\Yuning\YS01230\H1-12-22-19-143453.asa,ACQ-QDA#KAD3699,12/22/19 19:06,3,85,,1/1/0001,,,,,,,,1,H,1,8,,,,,,186922.2522,,0.443,365876.8403,195,0.694,408313.7419,150.3,0.76,231103.8931,327.2,1.111,20848.51318,290.1,1.415,19336.30793,184.9,1.429,16684.07537,228.2,1.481,21736.73013,211.1,0,0,0,0,0,0,0.44,21927.45054,195,0.757,4729.10283,327.2,0,0,0,0,0,0,0,0,0,1.473,71.05546,211.1,0,0,0,0,0,0,0.443,4595.34935,195,0.693,6177.6576,150.3,0.76,7226.5404,327.2,1.113,549.79333,290.1,1.417,595.63348,184.9,0,0,0,0,0,0,0,0,0,0.444,879685.1148,195,0.767,48177.7749,327.2,0,0,0,1.481,91307.23079,211.1,0,0,0,0,0,0,1.34,186922.2522,198.1,0,0,0,0,0,0,0,0,0,0,0,0,1.341,4192.55403,198.1,0.694,726956.4916,150.3,1.11,48736.15959,290.1,0,0,0,0,0,0,0,0,0,1.407,1619.95893,184.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.102,888.44371,290.1,1.331,5505.70659,198.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.510888451
A2,A2.raw,12/22/19 14:37,2:A,,,,YS01230,,,Yuning,Processed,Sample,A2,,C:\Users\cernaklab-admin\Documents\AnalyticalStudio\Archives\Yuning\YS01230\A2-12-22-19-143739.asa,ACQ-QDA#KAD3699,12/22/19 19:06,3,2,,1/1/0001,,,,,,,,2,A,2,1,,,,,,0,,0.442,329342.9984,195,0.837,7376.32427,327.2,0.759,68829.34381,277,1.008,6041.73653,240.1,1.32,12950.3606,198.1,1.43,9364.07575,330.2,1.483,13859.66185,330.2,0,0,0,0,0,0,0.44,19768.31483,195,0,0,0,0,0,0,0,0,0,0,0,0,1.477,197.28411,330.2,0,0,0,0,0,0,0.443,3436.97796,195,0,0,0,0.76,2131.55636,277,0,0,0,0,0,0,1.488,108.26761,330.2,0,0,0,0,0,0,0.442,774854.3386,195,0,0,0,1.319,654082.932,198.1,1.485,335440.3176,330.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.421,347.30361,330.2,0,0,0,0,0,0,0.835,133003.8728,327.2,1.006,333285.8924,240.1,0,0,0,0,0,0,0,0,0,1.311,287.09358,198.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B2,B2.raw,12/22/19 14:40,2:B,,,,YS01230,,,Yuning,Processed,Sample,B2,,C:\Users\cernaklab-admin\Documents\AnalyticalStudio\Archives\Yuning\YS01230\B2-12-22-19-144024.asa,ACQ-QDA#KAD3699,12/22/19 19:06,3,14,,1/1/0001,,,,,,,,2,B,2,2,,,,,,0,,0.442,340822.6731,195,0.845,59689.67499,353.2,0.759,148112.378,167,0.964,99568.18182,279,1.43,40329.97921,228.2,1.482,16634.00325,211.1,1.645,8655.17608,282.3,0,0,0,0,0,0,0.44,20409.43343,195,0,0,0,0,0,0,0,0,0,0,0,0,1.634,138.40017,282.3,0,0,0,0,0,0,0.443,3518.80835,195,0.846,1566.14215,353.2,0.76,4694.82402,167,0.965,4021.42062,279,1.431,200.40278,228.2,0,0,0,0,0,0,0,0,0,0.442,809060.8884,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.472,37.26262,211.1,0,0,0,0,0,0,0.846,945277.8631,353.2,0.962,899573.0552,279,1.481,48893.06049,211.1,0,0,0,0,0,0,1.421,1558.61526,228.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
