Sample Name,product_smiles,product_yield,product_name,side_product1_smiles,side_product1_yield,side_product1_name,side_product2_smiles,side_product2_yield,side_product2_name
A1,CNC,23,product01,CNC,31,sproduct01,CNCC,1,sproduct02
A2,CNC,25,product01,CNC,17,sproduct01,CNCC,23,sproduct02
A3,CNC,0,product01,CNC,17,sproduct01,CNCC,17,sproduct02
A4,CNC,11,product01,CNC,12,sproduct01,CNCC,7,sproduct02
A5,CNC,25,product01,CNC,5,sproduct01,CNCC,9,sproduct02
A6,CNC,19,product01,CNC,23,sproduct01,CNCC,9,sproduct02
A7,CNC,26,product01,CNC,5,sproduct01,CNCC,27,sproduct02
A8,CNC,2,product01,CNC,14,sproduct01,CNCC,19,sproduct02
A9,CNC,27,product01,CNC,9,sproduct01,CNCC,32,sproduct02
A10,CNC,12,product01,CNC,8,sproduct01,CNCC,11,sproduct02
A11,CNC,10,product01,CNC,27,sproduct01,CNCC,32,sproduct02
A12,CNC,31,product01,CNC,13,sproduct01,CNCC,1,sproduct02
B1,CNC,13,product01,CNC,24,sproduct01,CNCC,4,sproduct02
B2,CNC,0,product01,CNC,12,sproduct01,CNCC,18,sproduct02
B3,CNC,30,product01,CNC,10,sproduct01,CNCC,30,sproduct02
B4,CNC,0,product01,CNC,5,sproduct01,CNCC,28,sproduct02
B5,CNC,22,product01,CNC,18,sproduct01,CNCC,21,sproduct02
B6,CNC,13,product01,CNC,9,sproduct01,CNCC,0,sproduct02
B7,CNC,25,product01,CNC,25,sproduct01,CNCC,21,sproduct02
B8,CNC,14,product01,CNC,27,sproduct01,CNCC,16,sproduct02
B9,CNC,7,product01,CNC,9,sproduct01,CNCC,15,sproduct02
B10,CNC,27,product01,CNC,11,sproduct01,CNCC,19,sproduct02
B11,CNC,31,product01,CNC,6,sproduct01,CNCC,7,sproduct02
B12,CNC,21,product01,CNC,14,sproduct01,CNCC,17,sproduct02
C1,CNC,32,product01,CNC,16,sproduct01,CNCC,23,sproduct02
C2,CNC,27,product01,CNC,6,sproduct01,CNCC,10,sproduct02
C3,CNC,9,product01,CNC,11,sproduct01,CNCC,14,sproduct02
C4,CNC,25,product01,CNC,0,sproduct01,CNCC,19,sproduct02
C5,CNC,25,product01,CNC,15,sproduct01,CNCC,17,sproduct02
C6,CNC,1,product01,CNC,16,sproduct01,CNCC,11,sproduct02
C7,CNC,14,product01,CNC,23,sproduct01,CNCC,17,sproduct02
C8,CNC,15,product01,CNC,18,sproduct01,CNCC,7,sproduct02
C9,CNC,26,product01,CNC,11,sproduct01,CNCC,18,sproduct02
C10,CNC,23,product01,CNC,13,sproduct01,CNCC,17,sproduct02
C11,CNC,8,product01,CNC,22,sproduct01,CNCC,29,sproduct02
C12,CNC,28,product01,CNC,3,sproduct01,CNCC,19,sproduct02
D1,CNC,11,product01,CNC,11,sproduct01,CNCC,3,sproduct02
D2,CNC,16,product01,CNC,16,sproduct01,CNCC,27,sproduct02
D3,CNC,23,product01,CNC,26,sproduct01,CNCC,3,sproduct02
D4,CNC,17,product01,CNC,26,sproduct01,CNCC,28,sproduct02
D5,CNC,12,product01,CNC,9,sproduct01,CNCC,0,sproduct02
D6,CNC,32,product01,CNC,12,sproduct01,CNCC,28,sproduct02
D7,CNC,30,product01,CNC,7,sproduct01,CNCC,29,sproduct02
D8,CNC,2,product01,CNC,25,sproduct01,CNCC,21,sproduct02
D9,CNC,33,product01,CNC,4,sproduct01,CNCC,17,sproduct02
D10,CNC,5,product01,CNC,0,sproduct01,CNCC,14,sproduct02
D11,CNC,0,product01,CNC,2,sproduct01,CNCC,12,sproduct02
D12,CNC,25,product01,CNC,7,sproduct01,CNCC,26,sproduct02
E1,CNC,4,product01,CNC,11,sproduct01,CNCC,25,sproduct02
E2,CNC,0,product01,CNC,0,sproduct01,CNCC,4,sproduct02
E3,CNC,0,product01,CNC,9,sproduct01,CNCC,7,sproduct02
E4,CNC,33,product01,CNC,14,sproduct01,CNCC,20,sproduct02
E5,CNC,2,product01,CNC,26,sproduct01,CNCC,6,sproduct02
E6,CNC,32,product01,CNC,28,sproduct01,CNCC,9,sproduct02
E7,CNC,8,product01,CNC,7,sproduct01,CNCC,25,sproduct02
E8,CNC,27,product01,CNC,17,sproduct01,CNCC,28,sproduct02
E9,CNC,3,product01,CNC,19,sproduct01,CNCC,17,sproduct02
E10,CNC,14,product01,CNC,11,sproduct01,CNCC,6,sproduct02
E11,CNC,20,product01,CNC,17,sproduct01,CNCC,0,sproduct02
E12,CNC,28,product01,CNC,8,sproduct01,CNCC,27,sproduct02
F1,CNC,23,product01,CNC,24,sproduct01,CNCC,3,sproduct02
F2,CNC,24,product01,CNC,25,sproduct01,CNCC,6,sproduct02
F3,CNC,12,product01,CNC,19,sproduct01,CNCC,22,sproduct02
F4,CNC,33,product01,CNC,0,sproduct01,CNCC,31,sproduct02
F5,CNC,5,product01,CNC,18,sproduct01,CNCC,31,sproduct02
F6,CNC,14,product01,CNC,14,sproduct01,CNCC,7,sproduct02
F7,CNC,13,product01,CNC,17,sproduct01,CNCC,5,sproduct02
F8,CNC,16,product01,CNC,8,sproduct01,CNCC,26,sproduct02
