atp,chemicalName,chemtype,color,density,factor,id,molarMass,molarity,order,smiles
1.2,test2,Ligand1,#470e61,1,TRUE,1,100,0.1,1,NNC
1.2,test3,Ligand1,#355f8d,1,TRUE,2,100,0.1,1,CNC
1.2,test4,Ligand1,#365c8d,1,TRUE,3,100,0.1,1,NCN
1.2,test5,Ligand1,#65cb5e,1,TRUE,4,100,0.1,1,NCNN
1.2,c1,Catalyst2,#40bd72,1,TRUE,5,111,0.1,1,CC
1.2,c2,Catalyst2,#2b748e,1,TRUE,6,101,0.1,1,NCN
1.2,c3,Catalyst2,#a0da39,1,TRUE,7,100,0.1,1,NCCC
1.2,c4,Catalyst2,#46c06f,1,TRUE,8,100,0.1,1,CNN
1.2,NCC,Catalyst2,#481a6c,1,TRUE,9,100,0.1,1,NNC
1.2,CNCNC,Catalyst2,#32658e,1,TRUE,10,10,0.1,1,CN
1.2,CNCREAL,Catalyst2,#26ad81,1,FALSE,11,100,0.1,1,CNC
