Notebook,Vessel,Temperature,Treatment,Plate,Row,Column,Electrophile,Electrophile SMILES,Electrophile Conc (M),Nucleophile,Nucleophile SMILES,Nucleophile Conc (M),Product,Product SMILES,Catalyst1,Catalyst1 SMILES,Catalyst1 Conc (M),Ligand1,Ligand1 SMILES,Ligand1 Conc (M),Ligand2,Ligand2 SMILES,Ligand2 Conc (M),Catalyst2,Catalyst2 SMILES,Catalyst2 Conc (M),BaseAcid,BaseAcid SMILES,BaseAcid Conc (M),ReductantOxidant,ReductantOxidant SMILES,ReductantOxidant Conc (M),Additive,Additive SMILES,Additive Conc (M),Solvent1,Solvent1 percentage,Solvent2,Solvent2 percentage,Analytical Method,index_waters,Output Value
yuning_ester_pilot_24,24,25,,24,A,1,p-toluidine diazonium BF4- salt,N#[N+]C1=CC=C(C)C=C1.FB(F)F.[F-],0.1,2-methylbenzoic acid,CC1=C(C(O)=O)C=CC=C1,0.1,p-tolyl 2-methylbenzoate,CC1=C(C(OC2=CC=C(C)C=C2)=O)C=CC=C1,Copper (I) Iodide + Silver Nitrate,[Cu+].[I-].[O-][N+]([O-])=O.[Ag+],0.03,pyridine,C1=NC=CC=C1,0.045,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,MeCN,100,none,0,UPLCMS,A1,18.5
yuning_ester_pilot_24,24,25,,24,A,2,p-toluidine diazonium BF4- salt,N#[N+]C1=CC=C(C)C=C1.FB(F)F.[F-],0.1,2-methylbenzoic acid,CC1=C(C(O)=O)C=CC=C1,0.1,p-tolyl 2-methylbenzoate,CC1=C(C(OC2=CC=C(C)C=C2)=O)C=CC=C1,Copper (I) Iodide,[Cu+].[I-],0.03,pyridine,C1=NC=CC=C1,0.045,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,MeCN,100,none,0,UPLCMS,A2,16.5
yuning_ester_pilot_24,24,25,,24,A,3,p-toluidine diazonium BF4- salt,N#[N+]C1=CC=C(C)C=C1.FB(F)F.[F-],0.1,2-methylbenzoic acid,CC1=C(C(O)=O)C=CC=C1,0.1,p-tolyl 2-methylbenzoate,CC1=C(C(OC2=CC=C(C)C=C2)=O)C=CC=C1,Palladium (II) Acetate + Silver Nitrate,CC([O-])=O.CC([O-])=O.[Pd+2].[O-][N+]([O-])=O.[Ag+],0.03,pyridine,C1=NC=CC=C1,0.045,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,MeCN,100,none,0,UPLCMS,A3,3.2
yuning_ester_pilot_24,24,25,,24,A,4,p-toluidine diazonium BF4- salt,N#[N+]C1=CC=C(C)C=C1.FB(F)F.[F-],0.1,2-methylbenzoic acid,CC1=C(C(O)=O)C=CC=C1,0.1,p-tolyl 2-methylbenzoate,CC1=C(C(OC2=CC=C(C)C=C2)=O)C=CC=C1,Pd(dba)2,[Pd].O=C(/C=C/c1ccccc1)\C=C\c2ccccc2.O=C(/C=C/c3ccccc3)\C=C\c4ccccc4,0.03,pyridine,C1=NC=CC=C1,0.045,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,MeCN,100,none,0,UPLCMS,A4,0.0
yuning_ester_pilot_24,24,25,,24,A,5,p-toluidine diazonium BF4- salt,N#[N+]C1=CC=C(C)C=C1.FB(F)F.[F-],0.1,2-methylbenzoic acid,CC1=C(C(O)=O)C=CC=C1,0.1,p-tolyl 2-methylbenzoate,CC1=C(C(OC2=CC=C(C)C=C2)=O)C=CC=C1,Palladium (II) Acetate + Silver Nitrate Repeat1,CC([O-])=O.CC([O-])=O.[Pd+2].[O-][N+]([O-])=O.[Ag+],0.03,pyridine,C1=NC=CC=C1,0.045,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,MeCN,100,none,0,UPLCMS,A5,0.0
yuning_ester_pilot_24,24,25,,24,A,6,p-toluidine diazonium BF4- salt,N#[N+]C1=CC=C(C)C=C1.FB(F)F.[F-],0.1,2-methylbenzoic acid,CC1=C(C(O)=O)C=CC=C1,0.1,p-tolyl 2-methylbenzoate,CC1=C(C(OC2=CC=C(C)C=C2)=O)C=CC=C1,NiCl2•dme,Cl[Ni]Cl.COCCOC,0.03,pyridine,C1=NC=CC=C1,0.045,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,MeCN,100,none,0,UPLCMS,A6,0.0
yuning_ester_pilot_24,24,25,,24,B,1,p-toluidine diazonium BF4- salt,N#[N+]C1=CC=C(C)C=C1.FB(F)F.[F-],0.1,2-methylbenzoic acid,CC1=C(C(O)=O)C=CC=C1,0.1,p-tolyl 2-methylbenzoate,CC1=C(C(OC2=CC=C(C)C=C2)=O)C=CC=C1,Copper (I) Iodide + Silver Nitrate,[Cu+].[I-].[O-][N+]([O-])=O.[Ag+],0.03,"4,4′-Di-tert-butyl-2,2′-dipyridyl",CC(C1=CC(C2=NC=CC(C(C)(C)C)=C2)=NC=C1)(C)C,0.045,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,MeCN,100,none,0,UPLCMS,B1,6.2
yuning_ester_pilot_24,24,25,,24,B,2,p-toluidine diazonium BF4- salt,N#[N+]C1=CC=C(C)C=C1.FB(F)F.[F-],0.1,2-methylbenzoic acid,CC1=C(C(O)=O)C=CC=C1,0.1,p-tolyl 2-methylbenzoate,CC1=C(C(OC2=CC=C(C)C=C2)=O)C=CC=C1,Copper (I) Iodide,[Cu+].[I-],0.03,"4,4′-Di-tert-butyl-2,2′-dipyridyl",CC(C1=CC(C2=NC=CC(C(C)(C)C)=C2)=NC=C1)(C)C,0.045,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,MeCN,100,none,0,UPLCMS,B2,0.0
yuning_ester_pilot_24,24,25,,24,B,3,p-toluidine diazonium BF4- salt,N#[N+]C1=CC=C(C)C=C1.FB(F)F.[F-],0.1,2-methylbenzoic acid,CC1=C(C(O)=O)C=CC=C1,0.1,p-tolyl 2-methylbenzoate,CC1=C(C(OC2=CC=C(C)C=C2)=O)C=CC=C1,Palladium (II) Acetate + Silver Nitrate,CC([O-])=O.CC([O-])=O.[Pd+2].[O-][N+]([O-])=O.[Ag+],0.03,"4,4′-Di-tert-butyl-2,2′-dipyridyl",CC(C1=CC(C2=NC=CC(C(C)(C)C)=C2)=NC=C1)(C)C,0.045,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,MeCN,100,none,0,UPLCMS,B3,0.0
yuning_ester_pilot_24,24,25,,24,B,4,p-toluidine diazonium BF4- salt,N#[N+]C1=CC=C(C)C=C1.FB(F)F.[F-],0.1,2-methylbenzoic acid,CC1=C(C(O)=O)C=CC=C1,0.1,p-tolyl 2-methylbenzoate,CC1=C(C(OC2=CC=C(C)C=C2)=O)C=CC=C1,Pd(dba)2,[Pd].O=C(/C=C/c1ccccc1)\C=C\c2ccccc2.O=C(/C=C/c3ccccc3)\C=C\c4ccccc4,0.03,"4,4′-Di-tert-butyl-2,2′-dipyridyl",CC(C1=CC(C2=NC=CC(C(C)(C)C)=C2)=NC=C1)(C)C,0.045,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,MeCN,100,none,0,UPLCMS,B4,0.0
