Notebook,Vessel,Temperature,Treatment,Plate,Row,Column,Electrophile,Electrophile SMILES,Electrophile Conc (M),Nucleophile,Nucleophile SMILES,Nucleophile Conc (M),Product,Product SMILES,Catalyst1,Catalyst1 SMILES,Catalyst1 Conc (M),Ligand1,Ligand1 SMILES,Ligand1 Conc (M),Ligand2,Ligand2 SMILES,Ligand2 Conc (M),Catalyst2,Catalyst2 SMILES,Catalyst2 Conc (M),BaseAcid,BaseAcid SMILES,BaseAcid Conc (M),ReductantOxidant,ReductantOxidant SMILES,ReductantOxidant Conc (M),Additive,Additive SMILES,Additive Conc (M),Solvent1,Solvent1 percentage,Solvent2,Solvent2 percentage,Analytical Method,index_waters,Output Value
zz210326_sp3_sp3_CC_decarb_deam,96,60,,96,A,1,"1-(tert-butyl) 2-(1,3-dioxoisoindolin-2-yl) pyrrolidine-1,2-dicarboxylate",O=C(ON1C(C(C=CC=C2)=C2C1=O)=O)C3N(C(OC(C)(C)C)=O)CCC3,0.1,"1-benzyl-2,4,6-triphenylpyridin-1-ium tetrafluoroborate",F[B-](F)(F)F.C1(C[N+]2=C(C3=CC=CC=C3)C=C(C4=CC=CC=C4)C=C2C5=CC=CC=C5)=CC=CC=C1,0.1,tert-butyl 2-benzylpyrrolidine-1-carboxylate,CC(OC(N1CCCC1CC2=CC=CC=C2)=O)(C)C,NICKEL(II) BROMIDE ETHYLENE GLYCOL DIMETHYL ETHER COMPLEX,COCCOC.[Ni+2].[Br-].[Br-],0.02,"4,4_-Bis(trifluoromethyl)-2,2_-bipyridine",FC(C1=CC(C2=NC=CC(C(F)(F)F)=C2)=NC=C1)(F)F,0.03,None,None,None,None,None,None,None,None,None,MANGANESE,[Mn],0.3,None,None,None,Dioxane:MeCN,100,none,0,UPLCMS,A1,70.67757009
zz210326_sp3_sp3_CC_decarb_deam,96,60,,96,A,2,"1,3-dioxoisoindolin-2-yl (tert-butoxycarbonyl)valinate",O=C(ON1C(C(C=CC=C2)=C2C1=O)=O)C(NC(OC(C)(C)C)=O)C(C)C,0.1,"1-benzyl-2,4,6-triphenylpyridin-1-ium tetrafluoroborate",F[B-](F)(F)F.C1(C[N+]2=C(C3=CC=CC=C3)C=C(C4=CC=CC=C4)C=C2C5=CC=CC=C5)=CC=CC=C1,0.1,tert-butyl (3-methyl-1-phenylbutan-2-yl)carbamate,CC(OC(NC(CC1=CC=CC=C1)C(C)C)=O)(C)C,NICKEL(II) BROMIDE ETHYLENE GLYCOL DIMETHYL ETHER COMPLEX,COCCOC.[Ni+2].[Br-].[Br-],0.02,"4,4_-Bis(trifluoromethyl)-2,2_-bipyridine",FC(C1=CC(C2=NC=CC(C(F)(F)F)=C2)=NC=C1)(F)F,0.03,None,None,None,None,None,None,None,None,None,MANGANESE,[Mn],0.3,None,None,None,Dioxane:MeCN,100,none,0,UPLCMS,A2,43.14709236
zz210326_sp3_sp3_CC_decarb_deam,96,60,,96,A,3,"1,3-dioxoisoindolin-2-yl (tert-butoxycarbonyl)leucinate",O=C(ON1C(C(C=CC=C2)=C2C1=O)=O)C(NC(OC(C)(C)C)=O)CC(C)C,0.1,"1-benzyl-2,4,6-triphenylpyridin-1-ium tetrafluoroborate",F[B-](F)(F)F.C1(C[N+]2=C(C3=CC=CC=C3)C=C(C4=CC=CC=C4)C=C2C5=CC=CC=C5)=CC=CC=C1,0.1,tert-butyl (4-methyl-1-phenylpentan-2-yl)carbamate,CC(OC(NC(CC1=CC=CC=C1)CC(C)C)=O)(C)C,NICKEL(II) BROMIDE ETHYLENE GLYCOL DIMETHYL ETHER COMPLEX,COCCOC.[Ni+2].[Br-].[Br-],0.02,"4,4_-Bis(trifluoromethyl)-2,2_-bipyridine",FC(C1=CC(C2=NC=CC(C(F)(F)F)=C2)=NC=C1)(F)F,0.03,None,None,None,None,None,None,None,None,None,MANGANESE,[Mn],0.3,None,None,None,Dioxane:MeCN,100,none,0,UPLCMS,A3,82.13390476
zz210326_sp3_sp3_CC_decarb_deam,96,60,,96,A,4,"1,3-dioxoisoindolin-2-yl 2-((tert-butoxycarbonyl)amino)pentanoate",O=C(ON1C(C(C=CC=C2)=C2C1=O)=O)C(NC(OC(C)(C)C)=O)CCC,0.1,"1-benzyl-2,4,6-triphenylpyridin-1-ium tetrafluoroborate",F[B-](F)(F)F.C1(C[N+]2=C(C3=CC=CC=C3)C=C(C4=CC=CC=C4)C=C2C5=CC=CC=C5)=CC=CC=C1,0.1,tert-butyl (1-phenylpentan-2-yl)carbamate,CCCC(NC(OC(C)(C)C)=O)CC1=CC=CC=C1,NICKEL(II) BROMIDE ETHYLENE GLYCOL DIMETHYL ETHER COMPLEX,COCCOC.[Ni+2].[Br-].[Br-],0.02,"4,4_-Bis(trifluoromethyl)-2,2_-bipyridine",FC(C1=CC(C2=NC=CC(C(F)(F)F)=C2)=NC=C1)(F)F,0.03,None,None,None,None,None,None,None,None,None,MANGANESE,[Mn],0.3,None,None,None,Dioxane:MeCN,100,none,0,UPLCMS,A4,72.72914521
zz210326_sp3_sp3_CC_decarb_deam,96,60,,96,A,5,"1,3-dioxoisoindolin-2-yl (tert-butoxycarbonyl)alaninate",O=C(ON1C(C(C=CC=C2)=C2C1=O)=O)C(NC(OC(C)(C)C)=O)C,0.1,"1-benzyl-2,4,6-triphenylpyridin-1-ium tetrafluoroborate",F[B-](F)(F)F.C1(C[N+]2=C(C3=CC=CC=C3)C=C(C4=CC=CC=C4)C=C2C5=CC=CC=C5)=CC=CC=C1,0.1,tert-butyl (1-phenylpropan-2-yl)carbamate,CC(NC(OC(C)(C)C)=O)CC1=CC=CC=C1,NICKEL(II) BROMIDE ETHYLENE GLYCOL DIMETHYL ETHER COMPLEX,COCCOC.[Ni+2].[Br-].[Br-],0.02,"4,4_-Bis(trifluoromethyl)-2,2_-bipyridine",FC(C1=CC(C2=NC=CC(C(F)(F)F)=C2)=NC=C1)(F)F,0.03,None,None,None,None,None,None,None,None,None,MANGANESE,[Mn],0.3,None,None,None,Dioxane:MeCN,100,none,0,UPLCMS,A5,87.59259259
zz210326_sp3_sp3_CC_decarb_deam,96,60,,96,A,6,"1,3-dioxoisoindolin-2-yl (tert-butoxycarbonyl)methioninate",O=C(ON1C(C(C=CC=C2)=C2C1=O)=O)C(NC(OC(C)(C)C)=O)CCSC,0.1,"1-benzyl-2,4,6-triphenylpyridin-1-ium tetrafluoroborate",F[B-](F)(F)F.C1(C[N+]2=C(C3=CC=CC=C3)C=C(C4=CC=CC=C4)C=C2C5=CC=CC=C5)=CC=CC=C1,0.1,tert-butyl (4-(methylthio)-1-phenylbutan-2-yl)carbamate,CC(OC(NC(CC1=CC=CC=C1)CCSC)=O)(C)C,NICKEL(II) BROMIDE ETHYLENE GLYCOL DIMETHYL ETHER COMPLEX,COCCOC.[Ni+2].[Br-].[Br-],0.02,"4,4_-Bis(trifluoromethyl)-2,2_-bipyridine",FC(C1=CC(C2=NC=CC(C(F)(F)F)=C2)=NC=C1)(F)F,0.03,None,None,None,None,None,None,None,None,None,MANGANESE,[Mn],0.3,None,None,None,Dioxane:MeCN,100,none,0,UPLCMS,A6,66.15859938
zz210326_sp3_sp3_CC_decarb_deam,96,60,,96,A,7,"1,3-dioxoisoindolin-2-yl (tert-butoxycarbonyl)phenylalaninate",O=C(ON1C(C(C=CC=C2)=C2C1=O)=O)C(NC(OC(C)(C)C)=O)CC3=CC=CC=C3,0.1,"1-benzyl-2,4,6-triphenylpyridin-1-ium tetrafluoroborate",F[B-](F)(F)F.C1(C[N+]2=C(C3=CC=CC=C3)C=C(C4=CC=CC=C4)C=C2C5=CC=CC=C5)=CC=CC=C1,0.1,"tert-butyl (1,3-diphenylpropan-2-yl)carbamate",CC(OC(NC(CC1=CC=CC=C1)CC2=CC=CC=C2)=O)(C)C,NICKEL(II) BROMIDE ETHYLENE GLYCOL DIMETHYL ETHER COMPLEX,COCCOC.[Ni+2].[Br-].[Br-],0.02,"4,4_-Bis(trifluoromethyl)-2,2_-bipyridine",FC(C1=CC(C2=NC=CC(C(F)(F)F)=C2)=NC=C1)(F)F,0.03,None,None,None,None,None,None,None,None,None,MANGANESE,[Mn],0.3,None,None,None,Dioxane:MeCN,100,none,0,UPLCMS,A7,42.98885714
zz210326_sp3_sp3_CC_decarb_deam,96,60,,96,A,8,"1,3-dioxoisoindolin-2-yl 2-((tert-butoxycarbonyl)amino)-3-(perfluorophenyl)propanoate",FC(C(F)=C1F)=C(F)C(F)=C1CC(C(ON2C(C(C=CC=C3)=C3C2=O)=O)=O)NC(OC(C)(C)C)=O,0.1,"1-benzyl-2,4,6-triphenylpyridin-1-ium tetrafluoroborate",F[B-](F)(F)F.C1(C[N+]2=C(C3=CC=CC=C3)C=C(C4=CC=CC=C4)C=C2C5=CC=CC=C5)=CC=CC=C1,0.1,tert-butyl (1-(perfluorophenyl)-3-phenylpropan-2-yl)carbamate,FC(C(F)=C1F)=C(F)C(F)=C1CC(NC(OC(C)(C)C)=O)CC2=CC=CC=C2,NICKEL(II) BROMIDE ETHYLENE GLYCOL DIMETHYL ETHER COMPLEX,COCCOC.[Ni+2].[Br-].[Br-],0.02,"4,4_-Bis(trifluoromethyl)-2,2_-bipyridine",FC(C1=CC(C2=NC=CC(C(F)(F)F)=C2)=NC=C1)(F)F,0.03,None,None,None,None,None,None,None,None,None,MANGANESE,[Mn],0.3,None,None,None,Dioxane:MeCN,100,none,0,UPLCMS,A8,18.34714286
zz210326_sp3_sp3_CC_decarb_deam,96,60,,96,A,9,"1,3-dioxoisoindolin-2-yl 2-(3,4-dimethoxyphenyl)acetate",O=C(ON1C(C(C=CC=C2)=C2C1=O)=O)CC3=CC(OC)=C(OC)C=C3,0.1,"1-benzyl-2,4,6-triphenylpyridin-1-ium tetrafluoroborate",F[B-](F)(F)F.C1(C[N+]2=C(C3=CC=CC=C3)C=C(C4=CC=CC=C4)C=C2C5=CC=CC=C5)=CC=CC=C1,0.1,"1,2-dimethoxy-4-phenethylbenzene",COC1=C(OC)C=CC(CCC2=CC=CC=C2)=C1,NICKEL(II) BROMIDE ETHYLENE GLYCOL DIMETHYL ETHER COMPLEX,COCCOC.[Ni+2].[Br-].[Br-],0.02,"4,4_-Bis(trifluoromethyl)-2,2_-bipyridine",FC(C1=CC(C2=NC=CC(C(F)(F)F)=C2)=NC=C1)(F)F,0.03,None,None,None,None,None,None,None,None,None,MANGANESE,[Mn],0.3,None,None,None,Dioxane:MeCN,100,none,0,UPLCMS,A9,48.3304272
zz210326_sp3_sp3_CC_decarb_deam,96,60,,96,A,10,"1,3-dioxoisoindolin-2-yl 2-(1-(4-chlorobenzoyl)-5-methoxy-2-methyl-1H-indol-3-yl)acetate",O=C(C1=CC=C(Cl)C=C1)N2C(C)=C(CC(ON3C(C(C=CC=C4)=C4C3=O)=O)=O)C5=CC(OC)=CC=C52,0.1,"1-benzyl-2,4,6-triphenylpyridin-1-ium tetrafluoroborate",F[B-](F)(F)F.C1(C[N+]2=C(C3=CC=CC=C3)C=C(C4=CC=CC=C4)C=C2C5=CC=CC=C5)=CC=CC=C1,0.1,(4-chlorophenyl)(5-methoxy-2-methyl-3-phenethyl-1H-indol-1-yl)methanone,O=C(C1=CC=C(Cl)C=C1)N2C(C)=C(CCC3=CC=CC=C3)C4=CC(OC)=CC=C42,NICKEL(II) BROMIDE ETHYLENE GLYCOL DIMETHYL ETHER COMPLEX,COCCOC.[Ni+2].[Br-].[Br-],0.02,"4,4_-Bis(trifluoromethyl)-2,2_-bipyridine",FC(C1=CC(C2=NC=CC(C(F)(F)F)=C2)=NC=C1)(F)F,0.03,None,None,None,None,None,None,None,None,None,MANGANESE,[Mn],0.3,None,None,None,Dioxane:MeCN,100,none,0,UPLCMS,A10,0
