Notebook,Vessel,Temperature,Treatment,Plate,Row,Column,Electrophile,Electrophile SMILES,Electrophile Conc (M),Nucleophile,Nucleophile SMILES,Nucleophile Conc (M),Product,Product SMILES,Catalyst1,Catalyst1 SMILES,Catalyst1 Conc (M),Ligand1,Ligand1 SMILES,Ligand1 Conc (M),Ligand2,Ligand2 SMILES,Ligand2 Conc (M),Catalyst2,Catalyst2 SMILES,Catalyst2 Conc (M),BaseAcid,BaseAcid SMILES,BaseAcid Conc (M),ReductantOxidant,ReductantOxidant SMILES,ReductantOxidant Conc (M),Additive,Additive SMILES,Additive Conc (M),Solvent1,Solvent1 percentage,Solvent2,Solvent2 percentage,Analytical Method,index_waters,Output Value
Alkyl Esterification,96,25,,96,A,1,Amlo Kat Salt,FB(F)F.O=C(OCC)C1=C(NC(C)=C(C1C2=C(Cl)C=CC=C2)C(OC)=O)COCC[N+]3=C(C4=CC=CC=C4)C=C(C5=CC=CC=C5)C=C3C6=CC=CC=C6.[F-],0.1,"2-FLUOROBENZOIC ACID, 97%",OC(=O)c1ccccc1F,0.1,A1,CCOC(=O)C1=C(COCCOC(=O)c2ccccc2F)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,None,None,None,None,None,None,None,None,None,None,None,None,POTASSIUM IODIDE,[K+].[I-],0.2,None,None,None,None,None,None,none,100,none,0,UPLCMS,A1,0.9332
Alkyl Esterification,96,25,,96,A,2,Amlo Kat Salt,FB(F)F.O=C(OCC)C1=C(NC(C)=C(C1C2=C(Cl)C=CC=C2)C(OC)=O)COCC[N+]3=C(C4=CC=CC=C4)C=C(C5=CC=CC=C5)C=C3C6=CC=CC=C6.[F-],0.1,"3-FLUOROBENZOIC ACID, 97%",OC(=O)c1cccc(F)c1,0.1,A2,CCOC(=O)C1=C(COCCOC(=O)c2cccc(F)c2)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,None,None,None,None,None,None,None,None,None,None,None,None,POTASSIUM IODIDE,[K+].[I-],0.2,None,None,None,None,None,None,none,100,none,0,UPLCMS,A2,0.4488
Alkyl Esterification,96,25,,96,A,3,Amlo Kat Salt,FB(F)F.O=C(OCC)C1=C(NC(C)=C(C1C2=C(Cl)C=CC=C2)C(OC)=O)COCC[N+]3=C(C4=CC=CC=C4)C=C(C5=CC=CC=C5)C=C3C6=CC=CC=C6.[F-],0.1,"4-FLUOROBENZOIC ACID, 98%",OC(=O)c1ccc(F)cc1,0.1,A3,CCOC(=O)C1=C(COCCOC(=O)c2ccc(F)cc2)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,None,None,None,None,None,None,None,None,None,None,None,None,POTASSIUM IODIDE,[K+].[I-],0.2,None,None,None,None,None,None,none,100,none,0,UPLCMS,A3,1.21025
Alkyl Esterification,96,25,,96,A,4,Amlo Kat Salt,FB(F)F.O=C(OCC)C1=C(NC(C)=C(C1C2=C(Cl)C=CC=C2)C(OC)=O)COCC[N+]3=C(C4=CC=CC=C4)C=C(C5=CC=CC=C5)C=C3C6=CC=CC=C6.[F-],0.1,"2-IODOBENZOIC ACID, 98%",OC(=O)c1ccccc1I,0.1,A4,CCOC(=O)C1=C(COCCOC(=O)c2ccccc2I)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,None,None,None,None,None,None,None,None,None,None,None,None,POTASSIUM IODIDE,[K+].[I-],0.2,None,None,None,None,None,None,none,100,none,0,UPLCMS,A4,0.85815
Alkyl Esterification,96,25,,96,A,5,Amlo Kat Salt,FB(F)F.O=C(OCC)C1=C(NC(C)=C(C1C2=C(Cl)C=CC=C2)C(OC)=O)COCC[N+]3=C(C4=CC=CC=C4)C=C(C5=CC=CC=C5)C=C3C6=CC=CC=C6.[F-],0.1,para chlorobenzoic acid,ClC1=CC=C(C(O)=O)C=C1,0.1,A5,CCOC(=O)C1=C(COCCOC(=O)c2ccc(Cl)cc2)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,None,None,None,None,None,None,None,None,None,None,None,None,POTASSIUM IODIDE,[K+].[I-],0.2,None,None,None,None,None,None,none,100,none,0,UPLCMS,A5,0
Alkyl Esterification,96,25,,96,A,6,Amlo Kat Salt,FB(F)F.O=C(OCC)C1=C(NC(C)=C(C1C2=C(Cl)C=CC=C2)C(OC)=O)COCC[N+]3=C(C4=CC=CC=C4)C=C(C5=CC=CC=C5)C=C3C6=CC=CC=C6.[F-],0.1,"ORTHO-TOLUIC ACID, 99%",Cc1ccccc1C(O)=O,0.1,A6,CCOC(=O)C1=C(COCCOC(=O)c2ccccc2C)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,None,None,None,None,None,None,None,None,None,None,None,None,POTASSIUM IODIDE,[K+].[I-],0.2,None,None,None,None,None,None,none,100,none,0,UPLCMS,A6,1.05665
Alkyl Esterification,96,25,,96,A,7,Amlo Kat Salt,FB(F)F.O=C(OCC)C1=C(NC(C)=C(C1C2=C(Cl)C=CC=C2)C(OC)=O)COCC[N+]3=C(C4=CC=CC=C4)C=C(C5=CC=CC=C5)C=C3C6=CC=CC=C6.[F-],0.1,"2-NITROBENZOIC ACID, 95%",OC(=O)c1ccccc1[N+]([O-])=O,0.1,A7,CCOC(=O)C1=C(COCCOC(=O)c2ccccc2[N+](=O)[O-])NC(C)=C(C(=O)OC)C1c1ccccc1Cl,None,None,None,None,None,None,None,None,None,None,None,None,POTASSIUM IODIDE,[K+].[I-],0.2,None,None,None,None,None,None,none,100,none,0,UPLCMS,A7,0.1136
Alkyl Esterification,96,25,,96,A,8,Amlo Kat Salt,FB(F)F.O=C(OCC)C1=C(NC(C)=C(C1C2=C(Cl)C=CC=C2)C(OC)=O)COCC[N+]3=C(C4=CC=CC=C4)C=C(C5=CC=CC=C5)C=C3C6=CC=CC=C6.[F-],0.1,2-Acetylbenzoic acid,O=C(O)C1=CC=CC=C1C(C)=O,0.1,A8,CCOC(=O)C1=C(COCCOC(=O)c2ccccc2C(C)=O)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,None,None,None,None,None,None,None,None,None,None,None,None,POTASSIUM IODIDE,[K+].[I-],0.2,None,None,None,None,None,None,none,100,none,0,UPLCMS,A8,0.46715
Alkyl Esterification,96,25,,96,A,9,Amlo Kat Salt,FB(F)F.O=C(OCC)C1=C(NC(C)=C(C1C2=C(Cl)C=CC=C2)C(OC)=O)COCC[N+]3=C(C4=CC=CC=C4)C=C(C5=CC=CC=C5)C=C3C6=CC=CC=C6.[F-],0.1,2-carboxybenzaldehyde,O=C(O)C1=CC=CC=C1C=O,0.1,A9,CCOC(=O)C1=C(COCCOC(=O)c2ccccc2C=O)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,None,None,None,None,None,None,None,None,None,None,None,None,POTASSIUM IODIDE,[K+].[I-],0.2,None,None,None,None,None,None,none,100,none,0,UPLCMS,A9,0.7155
Alkyl Esterification,96,25,,96,A,10,Amlo Kat Salt,FB(F)F.O=C(OCC)C1=C(NC(C)=C(C1C2=C(Cl)C=CC=C2)C(OC)=O)COCC[N+]3=C(C4=CC=CC=C4)C=C(C5=CC=CC=C5)C=C3C6=CC=CC=C6.[F-],0.1,4-Sulfamoylbenzoic acid,C1=CC(=CC=C1C(=O)O)S(=O)(=O)N,0.1,A10,CCOC(=O)C1=C(COCCOC(=O)c2ccc(S(N)(=O)=O)cc2)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,None,None,None,None,None,None,None,None,None,None,None,None,POTASSIUM IODIDE,[K+].[I-],0.2,None,None,None,None,None,None,none,100,none,0,UPLCMS,A10,0.10205
