Notebook,Vessel,Temperature,Treatment,Plate,Row,Column,Electrophile,Electrophile SMILES,Electrophile Conc (M),Nucleophile,Nucleophile SMILES,Nucleophile Conc (M),Product,Product SMILES,Catalyst1,Catalyst1 SMILES,Catalyst1 Conc (M),Ligand1,Ligand1 SMILES,Ligand1 Conc (M),Ligand2,Ligand2 SMILES,Ligand2 Conc (M),Catalyst2,Catalyst2 SMILES,Catalyst2 Conc (M),BaseAcid,BaseAcid SMILES,BaseAcid Conc (M),ReductantOxidant,ReductantOxidant SMILES,ReductantOxidant Conc (M),Additive,Additive SMILES,Additive Conc (M),Solvent1,Solvent1 percentage,Solvent2,Solvent2 percentage,Analytical Method,index_waters,Output Value
sp2-sp3 carbon-carbon decarb_deam screen,96,80,,96,A,1,2-Naphthoyl N-Acyl Glutarimide,O=C(N1C(CCCC1=O)=O)C2=CC3=CC=CC=C3C=C2,0.1,PhenEt Kat Salt,F[B-](F)(F)F.C1(C2=CC=CC=C2)=CC(C3=CC=CC=C3)=[N+]([CH-]CC4=CC=CC=C4)C(C5=CC=CC=C5)=C1,0.2,A1,C1(CCC2=CC=CC=C2)=CC3=CC=CC=C3C=C1,"NICKEL(II) BROMIDE, DIMETHOXYETHANE ADDUCT, 97+%",COCCOC.[Ni+2].[Br-].[Br-],0.02,"2,2'-DIPYRIDYL, 99+%",c1ccc(nc1)c2ccccn2,0.02,None,None,None,"CALCIUM CHLORIDE ANHYDROUS, 96.0+%, POWDER",[Cl-].[Cl-].[Ca++],0.05,None,None,None,"MANGANESE, POWDER, -325 MESH, 99+%",[Mn],0.3,None,None,None,none,100,none,0,UPLCMS,A1,0.460238663
sp2-sp3 carbon-carbon decarb_deam screen,96,80,,96,A,2,2-Naphthoyl N-Acyl Glutarimide,O=C(N1C(CCCC1=O)=O)C2=CC3=CC=CC=C3C=C2,0.1,PhenEt Kat Salt,F[B-](F)(F)F.C1(C2=CC=CC=C2)=CC(C3=CC=CC=C3)=[N+]([CH-]CC4=CC=CC=C4)C(C5=CC=CC=C5)=C1,0.2,A2,C1(CCC2=CC=CC=C2)=CC3=CC=CC=C3C=C1,"NICKEL(II) BROMIDE, DIMETHOXYETHANE ADDUCT, 97+%",COCCOC.[Ni+2].[Br-].[Br-],0.02,"2,2'-DIPYRIDYL, 99+%",c1ccc(nc1)c2ccccn2,0.02,None,None,None,"PALLADIUM(II) CHLORIDE, 99%, REAGENTPLUS",Cl[Pd]Cl,0.05,None,None,None,"MANGANESE, POWDER, -325 MESH, 99+%",[Mn],0.3,None,None,None,none,100,none,0,UPLCMS,A2,0.273335124
sp2-sp3 carbon-carbon decarb_deam screen,96,80,,96,A,3,2-Naphthoyl N-Acyl Glutarimide,O=C(N1C(CCCC1=O)=O)C2=CC3=CC=CC=C3C=C2,0.1,PhenEt Kat Salt,F[B-](F)(F)F.C1(C2=CC=CC=C2)=CC(C3=CC=CC=C3)=[N+]([CH-]CC4=CC=CC=C4)C(C5=CC=CC=C5)=C1,0.2,A3,C1(CCC2=CC=CC=C2)=CC3=CC=CC=C3C=C1,"NICKEL(II) BROMIDE, DIMETHOXYETHANE ADDUCT, 97+%",COCCOC.[Ni+2].[Br-].[Br-],0.02,"2,2'-DIPYRIDYL, 99+%",c1ccc(nc1)c2ccccn2,0.02,None,None,None,MgCl2,[Mg+2].[Cl-].[Cl-],0.05,None,None,None,"MANGANESE, POWDER, -325 MESH, 99+%",[Mn],0.3,None,None,None,none,100,none,0,UPLCMS,A3,0.225826895
sp2-sp3 carbon-carbon decarb_deam screen,96,80,,96,A,4,2-Naphthoyl N-Acyl Glutarimide,O=C(N1C(CCCC1=O)=O)C2=CC3=CC=CC=C3C=C2,0.1,PhenEt Kat Salt,F[B-](F)(F)F.C1(C2=CC=CC=C2)=CC(C3=CC=CC=C3)=[N+]([CH-]CC4=CC=CC=C4)C(C5=CC=CC=C5)=C1,0.2,A4,C1(CCC2=CC=CC=C2)=CC3=CC=CC=C3C=C1,"NICKEL(II) BROMIDE, DIMETHOXYETHANE ADDUCT, 97+%",COCCOC.[Ni+2].[Br-].[Br-],0.02,"2,2'-DIPYRIDYL, 99+%",c1ccc(nc1)c2ccccn2,0.02,None,None,None,No Catalyst2,C,0.05,None,None,None,"MANGANESE, POWDER, -325 MESH, 99+%",[Mn],0.3,None,None,None,none,100,none,0,UPLCMS,A4,0
sp2-sp3 carbon-carbon decarb_deam screen,96,80,,96,A,5,2-Naphthoyl N-Acyl Glutarimide,O=C(N1C(CCCC1=O)=O)C2=CC3=CC=CC=C3C=C2,0.1,PhenEt Kat Salt,F[B-](F)(F)F.C1(C2=CC=CC=C2)=CC(C3=CC=CC=C3)=[N+]([CH-]CC4=CC=CC=C4)C(C5=CC=CC=C5)=C1,0.2,A5,C1(CCC2=CC=CC=C2)=CC3=CC=CC=C3C=C1,"NICKEL(II) BROMIDE, DIMETHOXYETHANE ADDUCT, 97+%",COCCOC.[Ni+2].[Br-].[Br-],0.02,"2,2'-DIPYRIDYL, 99+%",c1ccc(nc1)c2ccccn2,0.02,None,None,None,"ZINC CHLORIDE, 98+%, ANHYDROUS, REAGENT GRADE",[Cl-].[Cl-].[Zn++],0.05,None,None,None,"MANGANESE, POWDER, -325 MESH, 99+%",[Mn],0.3,None,None,None,none,100,none,0,UPLCMS,A5,0.294520032
sp2-sp3 carbon-carbon decarb_deam screen,96,80,,96,A,6,2-Naphthoyl N-Acyl Glutarimide,O=C(N1C(CCCC1=O)=O)C2=CC3=CC=CC=C3C=C2,0.1,PhenEt Kat Salt,F[B-](F)(F)F.C1(C2=CC=CC=C2)=CC(C3=CC=CC=C3)=[N+]([CH-]CC4=CC=CC=C4)C(C5=CC=CC=C5)=C1,0.2,A6,C1(CCC2=CC=CC=C2)=CC3=CC=CC=C3C=C1,"NICKEL(II) BROMIDE, DIMETHOXYETHANE ADDUCT, 97+%",COCCOC.[Ni+2].[Br-].[Br-],0.02,"2,2'-DIPYRIDYL, 99+%",c1ccc(nc1)c2ccccn2,0.02,None,None,None,"IRON(III) CHLORIDE, 97%",[Cl-].[Cl-].[Cl-].[Fe+3],0.05,None,None,None,"MANGANESE, POWDER, -325 MESH, 99+%",[Mn],0.3,None,None,None,none,100,none,0,UPLCMS,A6,0.106991501
sp2-sp3 carbon-carbon decarb_deam screen,96,80,,96,A,7,2-Naphthoyl N-Acyl Glutarimide,O=C(N1C(CCCC1=O)=O)C2=CC3=CC=CC=C3C=C2,0.1,PhenEt Kat Salt,F[B-](F)(F)F.C1(C2=CC=CC=C2)=CC(C3=CC=CC=C3)=[N+]([CH-]CC4=CC=CC=C4)C(C5=CC=CC=C5)=C1,0.2,A7,C1(CCC2=CC=CC=C2)=CC3=CC=CC=C3C=C1,"NICKEL(II) BROMIDE, DIMETHOXYETHANE ADDUCT, 97+%",COCCOC.[Ni+2].[Br-].[Br-],0.02,"2,2'-DIPYRIDYL, 99+%",c1ccc(nc1)c2ccccn2,0.02,None,None,None,"BISMUTH(III) CHLORIDE, 98+%, REAGENT",[Cl-].[Cl-].[Cl-].[Bi+3],0.05,None,None,None,"MANGANESE, POWDER, -325 MESH, 99+%",[Mn],0.3,None,None,None,none,100,none,0,UPLCMS,A7,0.137378557
sp2-sp3 carbon-carbon decarb_deam screen,96,80,,96,A,8,2-Naphthoyl N-Acyl Glutarimide,O=C(N1C(CCCC1=O)=O)C2=CC3=CC=CC=C3C=C2,0.1,PhenEt Kat Salt,F[B-](F)(F)F.C1(C2=CC=CC=C2)=CC(C3=CC=CC=C3)=[N+]([CH-]CC4=CC=CC=C4)C(C5=CC=CC=C5)=C1,0.2,A8,C1(CCC2=CC=CC=C2)=CC3=CC=CC=C3C=C1,"NICKEL(II) BROMIDE, DIMETHOXYETHANE ADDUCT, 97+%",COCCOC.[Ni+2].[Br-].[Br-],0.02,"2,2'-DIPYRIDYL, 99+%",c1ccc(nc1)c2ccccn2,0.02,None,None,None,"TITANIUM(IV) ISOPROPOXIDE, 97%",[Ti+4].CC(C)[O-].CC(C)[O-].CC(C)[O-].CC(C)[O-],0.05,None,None,None,"MANGANESE, POWDER, -325 MESH, 99+%",[Mn],0.3,None,None,None,none,100,none,0,UPLCMS,A8,0.049248149
sp2-sp3 carbon-carbon decarb_deam screen,96,80,,96,A,9,2-Naphthoyl N-Acyl Glutarimide,O=C(N1C(CCCC1=O)=O)C2=CC3=CC=CC=C3C=C2,0.1,PhenEt Kat Salt,F[B-](F)(F)F.C1(C2=CC=CC=C2)=CC(C3=CC=CC=C3)=[N+]([CH-]CC4=CC=CC=C4)C(C5=CC=CC=C5)=C1,0.2,A9,C1(CCC2=CC=CC=C2)=CC3=CC=CC=C3C=C1,"NICKEL(II) BROMIDE, DIMETHOXYETHANE ADDUCT, 97+%",COCCOC.[Ni+2].[Br-].[Br-],0.02,"2,2'-DIPYRIDYL, 99+%",c1ccc(nc1)c2ccccn2,0.02,None,None,None,"ALUMINUM CHLORIDE, ANHYDROUS, GRANULAR, 99%",[Al+3].[Cl-].[Cl-].[Cl-],0.05,None,None,None,"MANGANESE, POWDER, -325 MESH, 99+%",[Mn],0.3,None,None,None,none,100,none,0,UPLCMS,A9,0.450004869
sp2-sp3 carbon-carbon decarb_deam screen,96,80,,96,A,10,2-Naphthoyl N-Acyl Glutarimide,O=C(N1C(CCCC1=O)=O)C2=CC3=CC=CC=C3C=C2,0.1,PhenEt Kat Salt,F[B-](F)(F)F.C1(C2=CC=CC=C2)=CC(C3=CC=CC=C3)=[N+]([CH-]CC4=CC=CC=C4)C(C5=CC=CC=C5)=C1,0.2,A10,C1(CCC2=CC=CC=C2)=CC3=CC=CC=C3C=C1,"NICKEL(II) BROMIDE, DIMETHOXYETHANE ADDUCT, 97+%",COCCOC.[Ni+2].[Br-].[Br-],0.02,"2,2'-DIPYRIDYL, 99+%",c1ccc(nc1)c2ccccn2,0.02,None,None,None,"Gallium(III) chloride, 99.99+%",Cl[Ga](Cl)Cl,0.05,None,None,None,"MANGANESE, POWDER, -325 MESH, 99+%",[Mn],0.3,None,None,None,none,100,none,0,UPLCMS,A10,0.237392387
sp2-sp3 carbon-carbon decarb_deam screen,96,80,,96,A,11,2-Naphthoyl N-Acyl Glutarimide,O=C(N1C(CCCC1=O)=O)C2=CC3=CC=CC=C3C=C2,0.1,PhenEt Kat Salt,F[B-](F)(F)F.C1(C2=CC=CC=C2)=CC(C3=CC=CC=C3)=[N+]([CH-]CC4=CC=CC=C4)C(C5=CC=CC=C5)=C1,0.2,A11,C1(CCC2=CC=CC=C2)=CC3=CC=CC=C3C=C1,"NICKEL(II) BROMIDE, DIMETHOXYETHANE ADDUCT, 97+%",COCCOC.[Ni+2].[Br-].[Br-],0.02,"2,2'-DIPYRIDYL, 99+%",c1ccc(nc1)c2ccccn2,0.02,None,None,None,COPPER(II) BROMIDE,[Cu++].[Br-].[Br-],0.05,None,None,None,"MANGANESE, POWDER, -325 MESH, 99+%",[Mn],0.3,None,None,None,none,100,none,0,UPLCMS,A11,0.349033981
sp2-sp3 carbon-carbon decarb_deam screen,96,80,,96,A,12,2-Naphthoyl N-Acyl Glutarimide,O=C(N1C(CCCC1=O)=O)C2=CC3=CC=CC=C3C=C2,0.1,PhenEt Kat Salt,F[B-](F)(F)F.C1(C2=CC=CC=C2)=CC(C3=CC=CC=C3)=[N+]([CH-]CC4=CC=CC=C4)C(C5=CC=CC=C5)=C1,0.2,A12,C1(CCC2=CC=CC=C2)=CC3=CC=CC=C3C=C1,"NICKEL(II) BROMIDE, DIMETHOXYETHANE ADDUCT, 97+%",COCCOC.[Ni+2].[Br-].[Br-],0.02,"2,2'-DIPYRIDYL, 99+%",c1ccc(nc1)c2ccccn2,0.02,None,None,None,RUTHENIUM(III) CHLORIDE,[Cl-].[Cl-].[Cl-].[Ru+3],0.05,None,None,None,"MANGANESE, POWDER, -325 MESH, 99+%",[Mn],0.3,None,None,None,none,100,none,0,UPLCMS,A12,0.419733224
sp2-sp3 carbon-carbon decarb_deam screen,96,80,,96,B,1,2-Naphthoyl N-Acyl Glutarimide,O=C(N1C(CCCC1=O)=O)C2=CC3=CC=CC=C3C=C2,0.1,PhenEt Kat Salt,F[B-](F)(F)F.C1(C2=CC=CC=C2)=CC(C3=CC=CC=C3)=[N+]([CH-]CC4=CC=CC=C4)C(C5=CC=CC=C5)=C1,0.2,B1,C1(CCC2=CC=CC=C2)=CC3=CC=CC=C3C=C1,"NICKEL(II) BROMIDE, DIMETHOXYETHANE ADDUCT, 97+%",COCCOC.[Ni+2].[Br-].[Br-],0.02,"4,4'-DIMETHYL-2,2'-BIPYRIDYL, 98.0+%",Cc1ccnc(c1)c2cc(C)ccn2,0.02,None,None,None,"CALCIUM CHLORIDE ANHYDROUS, 96.0+%, POWDER",[Cl-].[Cl-].[Ca++],0.05,None,None,None,"MANGANESE, POWDER, -325 MESH, 99+%",[Mn],0.3,None,None,None,none,100,none,0,UPLCMS,B1,0.316143858
sp2-sp3 carbon-carbon decarb_deam screen,96,80,,96,B,2,2-Naphthoyl N-Acyl Glutarimide,O=C(N1C(CCCC1=O)=O)C2=CC3=CC=CC=C3C=C2,0.1,PhenEt Kat Salt,F[B-](F)(F)F.C1(C2=CC=CC=C2)=CC(C3=CC=CC=C3)=[N+]([CH-]CC4=CC=CC=C4)C(C5=CC=CC=C5)=C1,0.2,B2,C1(CCC2=CC=CC=C2)=CC3=CC=CC=C3C=C1,"NICKEL(II) BROMIDE, DIMETHOXYETHANE ADDUCT, 97+%",COCCOC.[Ni+2].[Br-].[Br-],0.02,"4,4'-DIMETHYL-2,2'-BIPYRIDYL, 98.0+%",Cc1ccnc(c1)c2cc(C)ccn2,0.02,None,None,None,"PALLADIUM(II) CHLORIDE, 99%, REAGENTPLUS",Cl[Pd]Cl,0.05,None,None,None,"MANGANESE, POWDER, -325 MESH, 99+%",[Mn],0.3,None,None,None,none,100,none,0,UPLCMS,B2,0.204874533
sp2-sp3 carbon-carbon decarb_deam screen,96,80,,96,B,3,2-Naphthoyl N-Acyl Glutarimide,O=C(N1C(CCCC1=O)=O)C2=CC3=CC=CC=C3C=C2,0.1,PhenEt Kat Salt,F[B-](F)(F)F.C1(C2=CC=CC=C2)=CC(C3=CC=CC=C3)=[N+]([CH-]CC4=CC=CC=C4)C(C5=CC=CC=C5)=C1,0.2,B3,C1(CCC2=CC=CC=C2)=CC3=CC=CC=C3C=C1,"NICKEL(II) BROMIDE, DIMETHOXYETHANE ADDUCT, 97+%",COCCOC.[Ni+2].[Br-].[Br-],0.02,"4,4'-DIMETHYL-2,2'-BIPYRIDYL, 98.0+%",Cc1ccnc(c1)c2cc(C)ccn2,0.02,None,None,None,MgCl2,[Mg+2].[Cl-].[Cl-],0.05,None,None,None,"MANGANESE, POWDER, -325 MESH, 99+%",[Mn],0.3,None,None,None,none,100,none,0,UPLCMS,B3,0.154515354
