Notebook,Vessel,Temperature,Treatment,Plate,Row,Column,Electrophile,Electrophile SMILES,Electrophile Conc (M),Nucleophile,Nucleophile SMILES,Nucleophile Conc (M),Product,Product SMILES,Catalyst1,Catalyst1 SMILES,Catalyst1 Conc (M),Ligand1,Ligand1 SMILES,Ligand1 Conc (M),Ligand2,Ligand2 SMILES,Ligand2 Conc (M),Catalyst2,Catalyst2 SMILES,Catalyst2 Conc (M),BaseAcid,BaseAcid SMILES,BaseAcid Conc (M),ReductantOxidant,ReductantOxidant SMILES,ReductantOxidant Conc (M),Additive,Additive SMILES,Additive Conc (M),Solvent1,Solvent1 percentage,Solvent2,Solvent2 percentage,Analytical Method,Output Value
exploratory_ester_ultraHTE,1536,25,20h,1536,A,1,Fmoc-Pro-OH,C1CC(N(C1)C(=O)OCC2C3=CC=CC=C3C4=CC=CC=C24)C(=O)O,0.1,4-me,N#[N+]C1=CC=C(C)C=C1.FB(F)F.[F-],0.15,A1,Cc1ccc(OC(=O)C2CCCN2C(=O)OCC2c3ccccc3-c3ccccc32)cc1,Tetrakis(acetonitrile)copper(I) tetrafluoroborate,[Cu+].CC#N.CC#N.CC#N.CC#N.F[B-](F)(F)F,0.1,None,None,None,None,None,None,None,None,None,lutidine,CC1=NC(C)=CC=C1,0.15,None,None,None,None,None,None,Benzonitrile,100,none,0,UPLCMS,0
exploratory_ester_ultraHTE,1536,25,20h,1536,A,2,ampicillin na salt,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)N)C(=O)[O-])C.[Na+],0.1,4-me,N#[N+]C1=CC=C(C)C=C1.FB(F)F.[F-],0.15,A2,Cc1ccc([O-]C(=O)C2N3C(=O)C(NC(=O)C(N)c4ccccc4)C3SC2(C)C)cc1,Tetrakis(acetonitrile)copper(I) tetrafluoroborate,[Cu+].CC#N.CC#N.CC#N.CC#N.F[B-](F)(F)F,0.1,None,None,None,None,None,None,None,None,None,lutidine,CC1=NC(C)=CC=C1,0.15,None,None,None,None,None,None,Benzonitrile,100,none,0,UPLCMS,0
exploratory_ester_ultraHTE,1536,25,20h,1536,A,3,n-boc-l-leucine,CC(C)CC(C(=O)O)NC(=O)OC(C)(C)C,0.1,4-me,N#[N+]C1=CC=C(C)C=C1.FB(F)F.[F-],0.15,A3,Cc1ccc(OC(=O)C(CC(C)C)NC(=O)OC(C)(C)C)cc1,Tetrakis(acetonitrile)copper(I) tetrafluoroborate,[Cu+].CC#N.CC#N.CC#N.CC#N.F[B-](F)(F)F,0.1,None,None,None,None,None,None,None,None,None,lutidine,CC1=NC(C)=CC=C1,0.15,None,None,None,None,None,None,Benzonitrile,100,none,0,UPLCMS,0.037625758
exploratory_ester_ultraHTE,1536,25,20h,1536,A,4,(s)-(+)-ketoprofen,CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O,0.1,4-me,N#[N+]C1=CC=C(C)C=C1.FB(F)F.[F-],0.15,A4,Cc1ccc(OC(=O)C(C)c2cccc(C(=O)c3ccccc3)c2)cc1,Tetrakis(acetonitrile)copper(I) tetrafluoroborate,[Cu+].CC#N.CC#N.CC#N.CC#N.F[B-](F)(F)F,0.1,None,None,None,None,None,None,None,None,None,lutidine,CC1=NC(C)=CC=C1,0.15,None,None,None,None,None,None,Benzonitrile,100,none,0,UPLCMS,0.210868523
exploratory_ester_ultraHTE,1536,25,20h,1536,A,5,o-toulic acid,CC1=CC=CC=C1C(=O)O,0.1,4-me,N#[N+]C1=CC=C(C)C=C1.FB(F)F.[F-],0.15,A5,Cc1ccc(OC(=O)c2ccccc2C)cc1,Tetrakis(acetonitrile)copper(I) tetrafluoroborate,[Cu+].CC#N.CC#N.CC#N.CC#N.F[B-](F)(F)F,0.1,None,None,None,None,None,None,None,None,None,lutidine,CC1=NC(C)=CC=C1,0.15,None,None,None,None,None,None,Benzonitrile,100,none,0,UPLCMS,0
exploratory_ester_ultraHTE,1536,25,20h,1536,A,6,"3,4-(methlenedioxy)phenyl acetic acid",C1OC2=C(O1)C=C(C=C2)CC(=O)O,0.1,4-me,N#[N+]C1=CC=C(C)C=C1.FB(F)F.[F-],0.15,A6,Cc1ccc(OC(=O)Cc2ccc3c(c2)OCO3)cc1,Tetrakis(acetonitrile)copper(I) tetrafluoroborate,[Cu+].CC#N.CC#N.CC#N.CC#N.F[B-](F)(F)F,0.1,None,None,None,None,None,None,None,None,None,lutidine,CC1=NC(C)=CC=C1,0.15,None,None,None,None,None,None,Benzonitrile,100,none,0,UPLCMS,0
exploratory_ester_ultraHTE,1536,25,20h,1536,A,7,Fmoc-Pro-OH,C1CC(N(C1)C(=O)OCC2C3=CC=CC=C3C4=CC=CC=C24)C(=O)O,0.1,4-Cl,ClC1=CC=C([N+]#N)C=C1.FB(F)F.[F-],0.15,A7,O=C(Oc1ccc(Cl)cc1)C1CCCN1C(=O)OCC1c2ccccc2-c2ccccc21,Tetrakis(acetonitrile)copper(I) tetrafluoroborate,[Cu+].CC#N.CC#N.CC#N.CC#N.F[B-](F)(F)F,0.1,None,None,None,None,None,None,None,None,None,lutidine,CC1=NC(C)=CC=C1,0.15,None,None,None,None,None,None,Benzonitrile,100,none,0,UPLCMS,0.37471882
exploratory_ester_ultraHTE,1536,25,20h,1536,A,8,ampicillin na salt,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)N)C(=O)[O-])C.[Na+],0.1,4-Cl,ClC1=CC=C([N+]#N)C=C1.FB(F)F.[F-],0.15,A8,CC1(C)SC2C(NC(=O)C(N)c3ccccc3)C(=O)N2C1C(=O)[O-]c1ccc(Cl)cc1,Tetrakis(acetonitrile)copper(I) tetrafluoroborate,[Cu+].CC#N.CC#N.CC#N.CC#N.F[B-](F)(F)F,0.1,None,None,None,None,None,None,None,None,None,lutidine,CC1=NC(C)=CC=C1,0.15,None,None,None,None,None,None,Benzonitrile,100,none,0,UPLCMS,0
exploratory_ester_ultraHTE,1536,25,20h,1536,A,9,n-boc-l-leucine,CC(C)CC(C(=O)O)NC(=O)OC(C)(C)C,0.1,4-Cl,ClC1=CC=C([N+]#N)C=C1.FB(F)F.[F-],0.15,A9,CC(C)CC(NC(=O)OC(C)(C)C)C(=O)Oc1ccc(Cl)cc1,Tetrakis(acetonitrile)copper(I) tetrafluoroborate,[Cu+].CC#N.CC#N.CC#N.CC#N.F[B-](F)(F)F,0.1,None,None,None,None,None,None,None,None,None,lutidine,CC1=NC(C)=CC=C1,0.15,None,None,None,None,None,None,Benzonitrile,100,none,0,UPLCMS,0
exploratory_ester_ultraHTE,1536,25,20h,1536,A,10,(s)-(+)-ketoprofen,CC(C1=CC(=CC=C1)C(=O)C2=CC=CC=C2)C(=O)O,0.1,4-Cl,ClC1=CC=C([N+]#N)C=C1.FB(F)F.[F-],0.15,A10,CC(C(=O)Oc1ccc(Cl)cc1)c1cccc(C(=O)c2ccccc2)c1,Tetrakis(acetonitrile)copper(I) tetrafluoroborate,[Cu+].CC#N.CC#N.CC#N.CC#N.F[B-](F)(F)F,0.1,None,None,None,None,None,None,None,None,None,lutidine,CC1=NC(C)=CC=C1,0.15,None,None,None,None,None,None,Benzonitrile,100,none,0,UPLCMS,0.094438096
