Well,main_product_name,main_product_smiles,side_product1_name,side_product1_smiles,side_product2_name,side_product2_smiles
A1,"N-(4-iodophenyl)-2-oxo-1,2,3,4-tetrahydroquinoline-4-carboxamide",O=C1NC2=CC=CC=C2C(C(NC3=CC=C(I)C=C3)=O)C1,,,,
A2,"N-(4-iodophenyl)-2-oxo-1,2,3,4-tetrahydroquinoline-4-carboxamide",O=C1NC2=CC=CC=C2C(C(NC3=CC=C(I)C=C3)=O)C1,,,,
A3,"N-(4-bromophenyl)-2-oxo-1,2,3,4-tetrahydroquinoline-4-carboxamide",O=C1NC2=CC=CC=C2C(C(NC3=CC=C(Br)C=C3)=O)C1,,,,
A4,"N-(4-bromophenyl)-2-oxo-1,2,3,4-tetrahydroquinoline-4-carboxamide",O=C1NC2=CC=CC=C2C(C(NC3=CC=C(Br)C=C3)=O)C1,,,,
A5,"N-(4-chlorophenyl)-2-oxo-1,2,3,4-tetrahydroquinoline-4-carboxamide",O=C1NC2=CC=CC=C2C(C(NC3=CC=C(Cl)C=C3)=O)C1,,,,
A6,"N-(4-chlorophenyl)-2-oxo-1,2,3,4-tetrahydroquinoline-4-carboxamide",O=C1NC2=CC=CC=C2C(C(NC3=CC=C(Cl)C=C3)=O)C1,,,,
B1,"N-(4-iodophenyl)-2-oxo-1,2,3,4-tetrahydroquinoline-4-carboxamide",O=C1NC2=CC=CC=C2C(C(NC3=CC=C(I)C=C3)=O)C1,,,,
B2,"N-(4-iodophenyl)-2-oxo-1,2,3,4-tetrahydroquinoline-4-carboxamide",O=C1NC2=CC=CC=C2C(C(NC3=CC=C(I)C=C3)=O)C1,,,,
B3,"N-(4-bromophenyl)-2-oxo-1,2,3,4-tetrahydroquinoline-4-carboxamide",O=C1NC2=CC=CC=C2C(C(NC3=CC=C(Br)C=C3)=O)C1,,,,
B4,"N-(4-bromophenyl)-2-oxo-1,2,3,4-tetrahydroquinoline-4-carboxamide",O=C1NC2=CC=CC=C2C(C(NC3=CC=C(Br)C=C3)=O)C1,,,,
B5,"N-(4-chlorophenyl)-2-oxo-1,2,3,4-tetrahydroquinoline-4-carboxamide",O=C1NC2=CC=CC=C2C(C(NC3=CC=C(Cl)C=C3)=O)C1,,,,
B6,"N-(4-chlorophenyl)-2-oxo-1,2,3,4-tetrahydroquinoline-4-carboxamide",O=C1NC2=CC=CC=C2C(C(NC3=CC=C(Cl)C=C3)=O)C1,,,,
C1,"N-(4-iodophenyl)-2-oxo-1,2,3,4-tetrahydroquinoline-4-carboxamide",O=C1NC2=CC=CC=C2C(C(NC3=CC=C(I)C=C3)=O)C1,,,,
C2,"N-(4-iodophenyl)-2-oxo-1,2,3,4-tetrahydroquinoline-4-carboxamide",O=C1NC2=CC=CC=C2C(C(NC3=CC=C(I)C=C3)=O)C1,,,,
C3,"N-(4-bromophenyl)-2-oxo-1,2,3,4-tetrahydroquinoline-4-carboxamide",O=C1NC2=CC=CC=C2C(C(NC3=CC=C(Br)C=C3)=O)C1,,,,
C4,"N-(4-bromophenyl)-2-oxo-1,2,3,4-tetrahydroquinoline-4-carboxamide",O=C1NC2=CC=CC=C2C(C(NC3=CC=C(Br)C=C3)=O)C1,,,,
C5,"N-(4-chlorophenyl)-2-oxo-1,2,3,4-tetrahydroquinoline-4-carboxamide",O=C1NC2=CC=CC=C2C(C(NC3=CC=C(Cl)C=C3)=O)C1,,,,
C6,"N-(4-chlorophenyl)-2-oxo-1,2,3,4-tetrahydroquinoline-4-carboxamide",O=C1NC2=CC=CC=C2C(C(NC3=CC=C(Cl)C=C3)=O)C1,,,,
D1,"N-(4-iodophenyl)-2-oxo-1,2,3,4-tetrahydroquinoline-4-carboxamide",O=C1NC2=CC=CC=C2C(C(NC3=CC=C(I)C=C3)=O)C1,,,,
D2,"N-(4-iodophenyl)-2-oxo-1,2,3,4-tetrahydroquinoline-4-carboxamide",O=C1NC2=CC=CC=C2C(C(NC3=CC=C(I)C=C3)=O)C1,,,,
D3,"N-(4-bromophenyl)-2-oxo-1,2,3,4-tetrahydroquinoline-4-carboxamide",O=C1NC2=CC=CC=C2C(C(NC3=CC=C(Br)C=C3)=O)C1,,,,
D4,"N-(4-bromophenyl)-2-oxo-1,2,3,4-tetrahydroquinoline-4-carboxamide",O=C1NC2=CC=CC=C2C(C(NC3=CC=C(Br)C=C3)=O)C1,,,,
D5,"N-(4-chlorophenyl)-2-oxo-1,2,3,4-tetrahydroquinoline-4-carboxamide",O=C1NC2=CC=CC=C2C(C(NC3=CC=C(Cl)C=C3)=O)C1,,,,
D6,"N-(4-chlorophenyl)-2-oxo-1,2,3,4-tetrahydroquinoline-4-carboxamide",O=C1NC2=CC=CC=C2C(C(NC3=CC=C(Cl)C=C3)=O)C1,,,,
