Well,main_product_name,main_product_smiles,side_product1_name,side_product1_smiles,side_product2_name,side_product2_smiles
A1,tert-butyl (S)-(4-methyl-1-phenylpentan-2-yl)carbamate,O=C(OC(C)(C)C)N[C@H](CC1=CC=CC=C1)CC(C)C,,,,
B1,tert-butyl (S)-(4-methyl-1-phenylpentan-2-yl)carbamate,O=C(OC(C)(C)C)N[C@H](CC1=CC=CC=C1)CC(C)C,,,,
C1,tert-butyl (S)-(4-methyl-1-phenylpentan-2-yl)carbamate,O=C(OC(C)(C)C)N[C@H](CC1=CC=CC=C1)CC(C)C,,,,
D1,tert-butyl (S)-(4-methyl-1-phenylpentan-2-yl)carbamate,O=C(OC(C)(C)C)N[C@H](CC1=CC=CC=C1)CC(C)C,,,,
E1,tert-butyl (S)-(4-methyl-1-phenylpentan-2-yl)carbamate,O=C(OC(C)(C)C)N[C@H](CC1=CC=CC=C1)CC(C)C,,,,
F1,tert-butyl (S)-(4-methyl-1-phenylpentan-2-yl)carbamate,O=C(OC(C)(C)C)N[C@H](CC1=CC=CC=C1)CC(C)C,,,,
G1,tert-butyl (S)-(4-methyl-1-phenylpentan-2-yl)carbamate,O=C(OC(C)(C)C)N[C@H](CC1=CC=CC=C1)CC(C)C,,,,
H1,tert-butyl (S)-(4-methyl-1-phenylpentan-2-yl)carbamate,O=C(OC(C)(C)C)N[C@H](CC1=CC=CC=C1)CC(C)C,,,,
A2,tert-butyl (S)-(4-methyl-1-phenylpentan-2-yl)carbamate,O=C(OC(C)(C)C)N[C@H](CC1=CC=CC=C1)CC(C)C,,,,
B2,tert-butyl (S)-(4-methyl-1-phenylpentan-2-yl)carbamate,O=C(OC(C)(C)C)N[C@H](CC1=CC=CC=C1)CC(C)C,,,,
C2,tert-butyl (S)-(4-methyl-1-phenylpentan-2-yl)carbamate,O=C(OC(C)(C)C)N[C@H](CC1=CC=CC=C1)CC(C)C,,,,
D2,tert-butyl (S)-(4-methyl-1-phenylpentan-2-yl)carbamate,O=C(OC(C)(C)C)N[C@H](CC1=CC=CC=C1)CC(C)C,,,,
E2,tert-butyl (S)-(4-methyl-1-phenylpentan-2-yl)carbamate,O=C(OC(C)(C)C)N[C@H](CC1=CC=CC=C1)CC(C)C,,,,
F2,tert-butyl (S)-(4-methyl-1-phenylpentan-2-yl)carbamate,O=C(OC(C)(C)C)N[C@H](CC1=CC=CC=C1)CC(C)C,,,,
G2,tert-butyl (S)-(4-methyl-1-phenylpentan-2-yl)carbamate,O=C(OC(C)(C)C)N[C@H](CC1=CC=CC=C1)CC(C)C,,,,
H2,tert-butyl (S)-(4-methyl-1-phenylpentan-2-yl)carbamate,O=C(OC(C)(C)C)N[C@H](CC1=CC=CC=C1)CC(C)C,,,,
