Well,main_product_name,main_product_smiles,side_product1_name,side_product1_smiles,side_product2_name,side_product2_smiles
A1,tert-butyl 2-benzylpyrrolidine-1-carboxylate,CC(OC(N1CCCC1CC2=CC=CC=C2)=O)(C)C,,,,
B1,tert-butyl 2-(4-methylbenzyl)pyrrolidine-1-carboxylate,CC(OC(N1CCCC1CC2=CC=C(C)C=C2)=O)(C)C,,,,
C1,tert-butyl 2-(4-(trifluoromethyl)benzyl)pyrrolidine-1-carboxylate,CC(OC(N1CCCC1CC2=CC=C(C(F)(F)F)C=C2)=O)(C)C,,,,
D1,"tert-butyl 2-(2,4-dichlorobenzyl)pyrrolidine-1-carboxylate",ClC(C=C1)=CC(Cl)=C1CC2N(C(OC(C)(C)C)=O)CCC2,,,,
E1,tert-butyl 2-cyclohexylpyrrolidine-1-carboxylate,CC(OC(N1CCCC1C2CCCCC2)=O)(C)C,,,,
F1,tert-butyl 2-cyclopentylpyrrolidine-1-carboxylate,CC(OC(N1CCCC1C2CCCC2)=O)(C)C,,,,
G1,"tert-butyl 2-(1-(2,6-dimethylphenoxy)propan-2-yl)pyrrolidine-1-carboxylate",CC(COC1=C(C)C=CC=C1C)C2N(C(OC(C)(C)C)=O)CCC2,,,,
H1,tert-butyl 2-(2-(tert-butoxy)-2-oxoethyl)pyrrolidine-1-carboxylate,O=C(OC(C)(C)C)CC1N(C(OC(C)(C)C)=O)CCC1,,,,
A2,tert-butyl (3-methyl-1-phenylbutan-2-yl)carbamate,CC(OC(NC(CC1=CC=CC=C1)C(C)C)=O)(C)C,,,,
B2,tert-butyl (3-methyl-1-(p-tolyl)butan-2-yl)carbamate,CC(C=C1)=CC=C1CC(NC(OC(C)(C)C)=O)C(C)C,,,,
C2,tert-butyl (3-methyl-1-(4-(trifluoromethyl)phenyl)butan-2-yl)carbamate,CC(OC(NC(CC1=CC=C(C(F)(F)F)C=C1)C(C)C)=O)(C)C,,,,
D2,"tert-butyl (1-(2,4-dichlorophenyl)-3-methylbutan-2-yl)carbamate",ClC(C=C1Cl)=CC=C1CC(NC(OC(C)(C)C)=O)C(C)C,,,,
E2,tert-butyl (1-cyclohexyl-2-methylpropyl)carbamate,CC(OC(NC(C1CCCCC1)C(C)C)=O)(C)C,,,,
F2,tert-butyl (1-cyclopentyl-2-methylpropyl)carbamate,CC(OC(NC(C1CCCC1)C(C)C)=O)(C)C,,,,
G2,"tert-butyl (1-(2,6-dimethylphenoxy)-2,4-dimethylpentan-3-yl)carbamate",CC(COC1=C(C)C=CC=C1C)C(NC(OC(C)(C)C)=O)C(C)C,,,,
H2,tert-butyl 3-((tert-butoxycarbonyl)amino)-4-methylpentanoate,O=C(OC(C)(C)C)CC(NC(OC(C)(C)C)=O)C(C)C,,,,
A3,tert-butyl (4-methyl-1-phenylpentan-2-yl)carbamate,CC(OC(NC(CC1=CC=CC=C1)CC(C)C)=O)(C)C,,,,
B3,tert-butyl (4-methyl-1-(p-tolyl)pentan-2-yl)carbamate,CC(C=C1)=CC=C1CC(NC(OC(C)(C)C)=O)CC(C)C,,,,
C3,tert-butyl (4-methyl-1-(4-(trifluoromethyl)phenyl)pentan-2-yl)carbamate,CC(OC(NC(CC1=CC=C(C(F)(F)F)C=C1)CC(C)C)=O)(C)C,,,,
D3,"tert-butyl (1-(2,4-dichlorophenyl)-4-methylpentan-2-yl)carbamate",ClC(C=C1Cl)=CC=C1CC(NC(OC(C)(C)C)=O)CC(C)C,,,,
E3,tert-butyl (1-cyclohexyl-3-methylbutyl)carbamate,CC(OC(NC(C1CCCCC1)CC(C)C)=O)(C)C,,,,
F3,tert-butyl (1-cyclopentyl-3-methylbutyl)carbamate,CC(OC(NC(C1CCCC1)CC(C)C)=O)(C)C,,,,
G3,"tert-butyl (1-(2,6-dimethylphenoxy)-2,5-dimethylhexan-3-yl)carbamate",CC(COC1=C(C)C=CC=C1C)C(NC(OC(C)(C)C)=O)CC(C)C,,,,
H3,tert-butyl 3-((tert-butoxycarbonyl)amino)-5-methylhexanoate,O=C(OC(C)(C)C)CC(NC(OC(C)(C)C)=O)CC(C)C,,,,
A4,tert-butyl (1-phenylpentan-2-yl)carbamate,CCCC(NC(OC(C)(C)C)=O)CC1=CC=CC=C1,,,,
B4,tert-butyl (1-(p-tolyl)pentan-2-yl)carbamate,CC(C=C1)=CC=C1CC(NC(OC(C)(C)C)=O)CCC,,,,
