Well,main_product_name,main_product_smiles,side_product1_name,side_product1_smiles,side_product2_name,side_product2_smiles
A1,2-phenethylnaphthalene,C1(CCC2=CC=CC=C2)=CC3=CC=CC=C3C=C1,,,,
B1,2-phenethylnaphthalene,C1(CCC2=CC=CC=C2)=CC3=CC=CC=C3C=C1,,,,
C1,2-phenethylnaphthalene,C1(CCC2=CC=CC=C2)=CC3=CC=CC=C3C=C1,,,,
D1,2-phenethylnaphthalene,C1(CCC2=CC=CC=C2)=CC3=CC=CC=C3C=C1,,,,
E1,2-phenethylnaphthalene,C1(CCC2=CC=CC=C2)=CC3=CC=CC=C3C=C1,,,,
F1,2-phenethylnaphthalene,C1(CCC2=CC=CC=C2)=CC3=CC=CC=C3C=C1,,,,
G1,2-phenethylnaphthalene,C1(CCC2=CC=CC=C2)=CC3=CC=CC=C3C=C1,,,,
H1,2-phenethylnaphthalene,C1(CCC2=CC=CC=C2)=CC3=CC=CC=C3C=C1,,,,
A2,2-phenethylnaphthalene,C1(CCC2=CC=CC=C2)=CC3=CC=CC=C3C=C1,,,,
B2,2-phenethylnaphthalene,C1(CCC2=CC=CC=C2)=CC3=CC=CC=C3C=C1,,,,
C2,2-phenethylnaphthalene,C1(CCC2=CC=CC=C2)=CC3=CC=CC=C3C=C1,,,,
D2,2-phenethylnaphthalene,C1(CCC2=CC=CC=C2)=CC3=CC=CC=C3C=C1,,,,
E2,2-phenethylnaphthalene,C1(CCC2=CC=CC=C2)=CC3=CC=CC=C3C=C1,,,,
F2,2-phenethylnaphthalene,C1(CCC2=CC=CC=C2)=CC3=CC=CC=C3C=C1,,,,
G2,2-phenethylnaphthalene,C1(CCC2=CC=CC=C2)=CC3=CC=CC=C3C=C1,,,,
H2,2-phenethylnaphthalene,C1(CCC2=CC=CC=C2)=CC3=CC=CC=C3C=C1,,,,
A3,2-phenethylnaphthalene,C1(CCC2=CC=CC=C2)=CC3=CC=CC=C3C=C1,,,,
B3,2-phenethylnaphthalene,C1(CCC2=CC=CC=C2)=CC3=CC=CC=C3C=C1,,,,
C3,2-phenethylnaphthalene,C1(CCC2=CC=CC=C2)=CC3=CC=CC=C3C=C1,,,,
D3,2-phenethylnaphthalene,C1(CCC2=CC=CC=C2)=CC3=CC=CC=C3C=C1,,,,
E3,2-phenethylnaphthalene,C1(CCC2=CC=CC=C2)=CC3=CC=CC=C3C=C1,,,,
F3,2-phenethylnaphthalene,C1(CCC2=CC=CC=C2)=CC3=CC=CC=C3C=C1,,,,
G3,2-phenethylnaphthalene,C1(CCC2=CC=CC=C2)=CC3=CC=CC=C3C=C1,,,,
H3,2-phenethylnaphthalene,C1(CCC2=CC=CC=C2)=CC3=CC=CC=C3C=C1,,,,
A4,2-phenethylnaphthalene,C1(CCC2=CC=CC=C2)=CC3=CC=CC=C3C=C1,,,,
B4,2-phenethylnaphthalene,C1(CCC2=CC=CC=C2)=CC3=CC=CC=C3C=C1,,,,
C4,2-phenethylnaphthalene,C1(CCC2=CC=CC=C2)=CC3=CC=CC=C3C=C1,,,,
D4,2-phenethylnaphthalene,C1(CCC2=CC=CC=C2)=CC3=CC=CC=C3C=C1,,,,
E4,2-phenethylnaphthalene,C1(CCC2=CC=CC=C2)=CC3=CC=CC=C3C=C1,,,,
F4,2-phenethylnaphthalene,C1(CCC2=CC=CC=C2)=CC3=CC=CC=C3C=C1,,,,
G4,2-phenethylnaphthalene,C1(CCC2=CC=CC=C2)=CC3=CC=CC=C3C=C1,,,,
H4,2-phenethylnaphthalene,C1(CCC2=CC=CC=C2)=CC3=CC=CC=C3C=C1,,,,
