Well,main_product_name,main_product_smiles,side_product1_name,side_product1_smiles,side_product2_name,side_product2_smiles
A1,sproduct01,CNC,sproduct01,CNC,sproduct02,CNCC
A2,sproduct01,CNC,sproduct01,CNC,sproduct02,CNCC
A3,sproduct01,CNC,sproduct01,CNC,sproduct02,CNCC
A4,sproduct01,CNC,sproduct01,CNC,sproduct02,CNCC
A5,sproduct01,CNC,sproduct01,CNC,sproduct02,CNCC
A6,sproduct01,CNC,sproduct01,CNC,sproduct02,CNCC
B1,sproduct01,CNC,sproduct01,CNC,sproduct02,CNCC
B2,sproduct01,CNC,sproduct01,CNC,sproduct02,CNCC
B3,sproduct01,CNC,sproduct01,CNC,sproduct02,CNCC
B4,sproduct01,CNC,sproduct01,CNC,sproduct02,CNCC
B5,sproduct01,CNC,sproduct01,CNC,sproduct02,CNCC
B6,sproduct01,CNC,sproduct01,CNC,sproduct02,CNCC
C1,sproduct01,CNC,sproduct01,CNC,sproduct02,CNCC
C2,sproduct01,CNC,sproduct01,CNC,sproduct02,CNCC
C3,sproduct01,CNC,sproduct01,CNC,sproduct02,CNCC
C4,sproduct01,CNC,sproduct01,CNC,sproduct02,CNCC
C5,sproduct01,CNC,sproduct01,CNC,sproduct02,CNCC
C6,sproduct01,CNC,sproduct01,CNC,sproduct02,CNCC
D1,sproduct01,CNC,sproduct01,CNC,sproduct02,CNCC
D2,sproduct01,CNC,sproduct01,CNC,sproduct02,CNCC
D3,sproduct01,CNC,sproduct01,CNC,sproduct02,CNCC
D4,sproduct01,CNC,sproduct01,CNC,sproduct02,CNCC
D5,sproduct01,CNC,sproduct01,CNC,sproduct02,CNCC
D6,sproduct01,CNC,sproduct01,CNC,sproduct02,CNCC
